 12.39	31003	31003	U	0	unclassified
 87.61	219212	5	R	1	root
 87.58	219149	376	R1	131567	  cellular organisms
 84.84	212284	1837	D	2	    Bacteria
 74.67	186824	1982	P	1224	      Proteobacteria
 60.66	151791	4809	C	28216	        Betaproteobacteria
 53.94	134975	5034	O	206389	          Rhodocyclales
 49.83	124674	36206	F	2008795	            Azonexaceae
 24.70	61809	0	G	138117	              Quatrionicoccus
 24.70	61809	61809	S	138118	                Quatrionicoccus australiensis
  7.52	18827	6284	G	73029	              Dechloromonas
  4.04	10097	10097	S	281362	                Dechloromonas denitrificans
  0.98	2446	2	G1	2633351	                unclassified Dechloromonas
  0.60	1501	1501	S	2231055	                  Dechloromonas sp. HYN0024
  0.38	943	943	S	2654218	                  Dechloromonas sp. TW-R-39-2
  3.13	7832	0	G	88875	              Ferribacterium
  3.13	7832	7832	S	76259	                Ferribacterium limneticum
  1.00	2494	444	F	2008794	            Zoogloeaceae
  0.64	1590	475	G	33057	              Thauera
  0.32	794	1	G1	2609274	                unclassified Thauera
  0.19	478	478	S	85643	                  Thauera sp. MZ1T
  0.13	315	315	S	2005884	                  Thauera sp. K11
  0.06	143	143	S	2184083	                Thauera hydrothermalis
  0.05	120	120	S	1134435	                Thauera humireducens
  0.01	36	36	S	96773	                Thauera chlorobenzoica
  0.01	22	0	S	59405	                Thauera aromatica
  0.01	22	22	S1	44139	                  Thauera aromatica K172
  0.14	339	45	G	12960	              Azoarcus
  0.07	178	0	G1	2629479	                unclassified Azoarcus
  0.05	125	125	S	748247	                  Azoarcus sp. KH32C
  0.02	53	53	S	2027405	                  Azoarcus sp. DD4
  0.03	65	65	S	41977	                Azoarcus communis
  0.02	51	51	S	418699	                Azoarcus olearius
  0.05	121	26	G	2891294	              Nitrogeniibacter
  0.03	72	72	S	2016596	                Nitrogeniibacter mangrovi
  0.01	23	23	S	2815343	                Nitrogeniibacter aestuarii
  0.97	2418	24	F	75787	            Rhodocyclaceae
  0.72	1808	307	G	146937	              Azospira
  0.42	1045	1045	S	404405	                Azospira restricta
  0.15	380	380	S	2785627	                Azospira inquinata
  0.02	40	0	G1	2609269	                unclassified Azospira
  0.02	40	40	S	1765049	                  Azospira sp. I09
  0.01	36	0	S	146939	                Azospira oryzae
  0.01	36	36	S1	640081	                  Azospira oryzae PS
  0.13	333	19	G	551759	              Aromatoleum
  0.06	161	161	S	76115	                Aromatoleum bremense
  0.03	66	66	S	2067960	                Aromatoleum pumilum
  0.02	46	0	S	551760	                Aromatoleum aromaticum
  0.02	46	46	S1	76114	                  Aromatoleum aromaticum EbN1
  0.02	41	41	S	76116	                Aromatoleum petrolei
  0.07	187	0	G	1911577	              Oryzomicrobium
  0.07	187	187	S	1735038	                Oryzomicrobium terrae
  0.01	37	0	G	1769726	              Niveibacterium
  0.01	37	37	S	2811415	                Niveibacterium microcysteis
  0.01	29	0	G	1914449	              Rugosibacter
  0.01	29	29	S	1565605	                Rugosibacter aromaticivorans
  0.14	355	0	F	2808923	            Fluviibacteraceae
  0.14	355	0	G	2808942	              Fluviibacter
  0.14	355	355	S	1751046	                Fluviibacter phosphoraccumulans
  3.64	9112	1135	O	80840	          Burkholderiales
  1.82	4561	1423	F	80864	            Comamonadaceae
  0.37	922	272	G	12916	              Acidovorax
  0.20	495	118	G1	2684926	                unclassified Acidovorax
  0.04	104	104	S	2738413	                  Acidovorax sp. YS12
  0.03	79	79	S	2714923	                  Acidovorax sp. HDW3
  0.03	66	66	S	2478662	                  Acidovorax sp. 1608163
  0.02	57	57	S	2518343	                  Acidovorax sp. JMULE5
  0.02	43	43	S	358220	                  Acidovorax sp. KKS102
  0.01	16	16	S	1842533	                  Acidovorax sp. RAC01
  0.00	12	12	S	1858609	                  Acidovorax sp. T1
  0.02	46	46	S	553814	                Acidovorax carolinensis
  0.02	45	45	S	2743470	                Acidovorax antarcticus
  0.01	25	0	S	80867	                Acidovorax avenae
  0.01	25	22	S1	80870	                  Acidovorax avenae subsp. avenae
  0.00	3	3	S2	643561	                    Acidovorax avenae subsp. avenae ATCC 19860
  0.01	16	16	S	758826	                Acidovorax radicis
  0.00	11	11	S	1926868	                Acidovorax monticola
  0.00	6	6	S	80868	                Acidovorax cattleyae
  0.00	6	6	S	80869	                Acidovorax citrulli
  0.19	470	129	G	283	              Comamonas
  0.04	110	110	S	225991	                Comamonas aquatica
  0.03	86	17	G1	2638500	                unclassified Comamonas
  0.01	28	28	S	2918299	                  Comamonas sp. B21-038
  0.01	21	21	S	2597701	                  Comamonas sp. NLF-7-7
  0.00	11	11	S	2853163	                  Comamonas sp. NLF-1-9
  0.00	8	8	S	2853257	                  Comamonas sp. Y33R10-2
  0.00	1	1	S	2927788	                  Comamonas sp. 7D-2evo2
  0.03	65	65	S	379895	                Comamonas odontotermitis
  0.01	23	23	S	363952	                Comamonas thiooxydans
  0.01	20	20	S	1082851	                Comamonas serinivorans
  0.01	16	15	S	285	                Comamonas testosteroni
  0.00	1	1	S1	1392005	                  Comamonas testosteroni TK102
  0.01	14	14	S	225992	                Comamonas kerstersii
  0.00	5	5	S	1562974	                Comamonas piscis
  0.00	2	2	S	2796366	                Comamonas fluminis
  0.14	354	42	G	34072	              Variovorax
  0.08	204	55	G1	663243	                unclassified Variovorax
  0.02	39	39	S	2762322	                  Variovorax sp. PAMC26660
  0.01	35	35	S	2681552	                  Variovorax sp. RKNM96
  0.01	25	25	S	2774875	                  Variovorax sp. 38R
  0.01	20	20	S	1034889	                  Variovorax sp. HW608
  0.00	7	7	S	434008	                  Variovorax sp. PBS-H4
  0.00	7	7	S	2762323	                  Variovorax sp. PAMC28562
  0.00	6	6	S	207745	                  Variovorax sp. WDL1
  0.00	4	4	S	434009	                  Variovorax sp. PBL-H6
  0.00	3	3	S	662548	                  Variovorax sp. RA8
  0.00	2	2	S	2126319	                  Variovorax sp. PMC12
  0.00	1	1	S	1795631	                  Variovorax sp. PAMC 28711
  0.04	98	50	S	34073	                Variovorax paradoxus
  0.01	34	34	S1	1246301	                  Variovorax paradoxus B4
  0.01	14	14	S1	595537	                  Variovorax paradoxus EPS
  0.00	10	10	S	436515	                Variovorax boronicumulans
