 31.73	30639	30639	U	0	unclassified
 68.27	65931	5	R	1	root
 68.21	65869	354	R1	131567	  cellular organisms
 61.32	59214	749	D	2	    Bacteria
 56.97	55016	799	P	1224	      Proteobacteria
 50.93	49180	426	C	28216	        Betaproteobacteria
 47.42	45794	133	O	206389	          Rhodocyclales
 46.32	44730	538	F	2008795	            Azonexaceae
 39.55	38190	0	G	138117	              Quatrionicoccus
 39.55	38190	38190	S	138118	                Quatrionicoccus australiensis
  3.17	3061	0	G	88875	              Ferribacterium
  3.17	3061	3061	S	76259	                Ferribacterium limneticum
  3.05	2941	113	G	73029	              Dechloromonas
  2.27	2196	2196	S	281362	                Dechloromonas denitrificans
  0.65	632	1	G1	2633351	                unclassified Dechloromonas
  0.34	325	325	S	2231055	                  Dechloromonas sp. HYN0024
  0.32	306	306	S	2654218	                  Dechloromonas sp. TW-R-39-2
  0.64	617	31	F	2008794	            Zoogloeaceae
  0.40	384	26	G	33057	              Thauera
  0.26	253	1	G1	2609274	                unclassified Thauera
  0.20	196	196	S	85643	                  Thauera sp. MZ1T
  0.06	56	56	S	2005884	                  Thauera sp. K11
  0.05	48	48	S	2184083	                Thauera hydrothermalis
  0.03	27	27	S	1134435	                Thauera humireducens
  0.02	16	16	S	96773	                Thauera chlorobenzoica
  0.01	14	0	S	59405	                Thauera aromatica
  0.01	14	14	S1	44139	                  Thauera aromatica K172
  0.15	147	10	G	12960	              Azoarcus
  0.05	50	0	G1	2629479	                unclassified Azoarcus
  0.03	28	28	S	748247	                  Azoarcus sp. KH32C
  0.02	22	22	S	2027405	                  Azoarcus sp. DD4
  0.05	46	46	S	41977	                Azoarcus communis
  0.04	41	41	S	418699	                Azoarcus olearius
  0.06	55	5	G	2891294	              Nitrogeniibacter
  0.03	28	28	S	2016596	                Nitrogeniibacter mangrovi
  0.02	22	22	S	2815343	                Nitrogeniibacter aestuarii
  0.32	310	2	F	75787	            Rhodocyclaceae
  0.21	200	51	G	146937	              Azospira
  0.06	62	62	S	404405	                Azospira restricta
  0.04	39	0	G1	2609269	                unclassified Azospira
  0.04	39	39	S	1765049	                  Azospira sp. I09
  0.03	25	0	S	146939	                Azospira oryzae
  0.03	25	25	S1	640081	                  Azospira oryzae PS
  0.02	23	23	S	2785627	                Azospira inquinata
  0.06	56	3	G	551759	              Aromatoleum
  0.03	25	25	S	76116	                Aromatoleum petrolei
  0.01	10	10	S	2067960	                Aromatoleum pumilum
  0.01	9	9	S	76115	                Aromatoleum bremense
  0.01	9	0	S	551760	                Aromatoleum aromaticum
  0.01	9	9	S1	76114	                  Aromatoleum aromaticum EbN1
  0.04	39	0	G	1911577	              Oryzomicrobium
  0.04	39	39	S	1735038	                Oryzomicrobium terrae
  0.01	10	0	G	1769726	              Niveibacterium
  0.01	10	10	S	2811415	                Niveibacterium microcysteis
  0.00	3	0	G	1914449	              Rugosibacter
  0.00	3	3	S	1565605	                Rugosibacter aromaticivorans
  0.00	4	0	F	2808923	            Fluviibacteraceae
  0.00	4	0	G	2808942	              Fluviibacter
  0.00	4	4	S	1751046	                Fluviibacter phosphoraccumulans
  2.65	2557	161	O	80840	          Burkholderiales
  1.34	1296	116	F	80864	            Comamonadaceae
  0.33	317	28	G	34072	              Variovorax
  0.19	184	39	G1	663243	                unclassified Variovorax
  0.04	39	39	S	2762322	                  Variovorax sp. PAMC26660
  0.04	35	35	S	2681552	                  Variovorax sp. RKNM96
  0.03	25	25	S	2774875	                  Variovorax sp. 38R
  0.02	19	19	S	1034889	                  Variovorax sp. HW608
  0.01	7	7	S	434008	                  Variovorax sp. PBS-H4
  0.01	6	6	S	207745	                  Variovorax sp. WDL1
  0.01	5	5	S	2762323	                  Variovorax sp. PAMC28562
