 23.78	44346	44346	U	0	unclassified
 76.22	142128	81	R	1	root
 74.80	139486	626	R1	131567	  cellular organisms
 72.01	134278	688	D	2	    Bacteria
 64.52	120312	967	P	1224	      Proteobacteria
 54.54	101707	1471	C	1236	        Gammaproteobacteria
 39.36	73403	4	O	72274	          Pseudomonadales
 39.35	73381	149	F	135621	            Pseudomonadaceae
 39.24	73179	15456	G	286	              Pseudomonas
 13.84	25814	57	G1	136842	                Pseudomonas chlororaphis group
 12.06	22480	22480	S	296	                  Pseudomonas fragi
  1.54	2870	2870	S	86185	                  Pseudomonas lundensis
  0.22	407	293	S	587753	                  Pseudomonas chlororaphis
  0.04	66	66	S1	86192	                    Pseudomonas chlororaphis subsp. aurantiaca
  0.01	19	13	S1	587851	                    Pseudomonas chlororaphis subsp. aureofaciens
  0.00	6	6	S2	1038921	                      Pseudomonas chlororaphis subsp. aureofaciens 30-84
  0.01	18	18	S1	1513890	                    Pseudomonas chlororaphis subsp. piscium
  0.00	8	8	S1	333	                    Pseudomonas chlororaphis subsp. chlororaphis
  0.00	3	3	S1	1037915	                    Pseudomonas chlororaphis O6
  4.66	8698	1504	G1	196821	                unclassified Pseudomonas
  0.45	847	847	S	1886807	                  Pseudomonas sp. TMW 2.1634
  0.41	757	757	S	2605424	                  Pseudomonas sp. J380
  0.15	286	286	S	2018067	                  Pseudomonas sp. FDAARGOS_380
  0.13	238	238	S	1827300	                  Pseudomonas sp. MYb193
  0.09	170	170	S	2901380	                  Pseudomonas sp. NIBR-H-19
  0.09	168	168	S	1930532	                  Pseudomonas sp. CC6-YY-74
  0.09	162	162	S	2025658	                  Pseudomonas sp. NS1(2017)
  0.08	156	156	S	306	                  Pseudomonas sp.
  0.07	134	134	S	2866807	                  Pseudomonas sp. MM213
  0.05	100	100	S	2866808	                  Pseudomonas sp. MM211
  0.05	93	93	S	1028989	                  Pseudomonas sp. StFLB209
  0.05	92	92	S	2745519	                  Pseudomonas sp. OE 28.3
  0.05	91	91	S	2678260	                  Pseudomonas sp. Ost2
  0.05	87	87	S	2823875	                  Pseudomonas sp. Tri1
  0.05	87	87	S	2664899	                  Pseudomonas sp. CFSAN084952
  0.04	83	83	S	1981174	                  Pseudomonas sp. M30-35
  0.04	81	81	S	1283291	                  Pseudomonas sp. URMO17WK12:I11
  0.04	81	81	S	2054919	                  Pseudomonas sp. S09G 359
  0.04	80	80	S	143813	                  Pseudomonas sp. LAB-08
  0.04	78	78	S	2320270	                  Pseudomonas sp. DG56-2
  0.04	78	78	S	2219057	                  Pseudomonas sp. LG1E9
  0.04	78	78	S	2049589	                  Pseudomonas sp. HLS-6
  0.04	77	77	S	1329969	                  Pseudomonas sp. GLE121
  0.04	76	76	S	1573719	                  Pseudomonas sp. S35
  0.04	75	75	S	2498848	                  Pseudomonas sp. MPC6
  0.04	71	71	S	1573718	                  Pseudomonas sp. S34
  0.04	71	71	S	2812000	                  Pseudomonas sp. SDM007
  0.03	65	65	S	2730848	                  Pseudomonas sp. ADAK18
  0.03	63	63	S	2614442	                  Pseudomonas sp. LPB0260
  0.03	61	61	S	2052956	                  Pseudomonas sp. ACM7
  0.03	61	61	S	2730847	                  Pseudomonas sp. ADAK13
  0.03	57	57	S	658644	                  Pseudomonas sp. R5-89-07
  0.03	56	56	S	1344094	                  Pseudomonas sp. HN11
  0.03	55	55	S	2083054	                  Pseudomonas sp. LG1D9
  0.03	54	54	S	1856685	                  Pseudomonas sp. TCU-HL1
  0.03	52	52	S	2654238	                  Pseudomonas sp. DTU12.1
  0.03	52	52	S	2883205	                  Pseudomonas sp. L5B5
  0.03	50	50	S	2201356	                  Pseudomonas sp. 31-12
  0.03	49	49	S	658630	                  Pseudomonas sp. CMR5c
  0.03	49	49	S	2678259	                  Pseudomonas sp. Seg1
  0.03	49	49	S	2073078	                  Pseudomonas sp. DTU12.3
  0.03	49	49	S	2871095	                  Pseudomonas sp. DR48
  0.03	48	48	S	1755504	                  Pseudomonas sp. DY-1
  0.03	47	47	S	1758730	                  Pseudomonas sp. BIOMIG1BAC
  0.03	47	47	S	2855434	                  Pseudomonas sp. AO-1
  0.03	47	47	S	2815936	                  Pseudomonas sp. PP3
  0.02	46	46	S	2735906	                  Pseudomonas sp. B11D7D
  0.02	45	45	S	1881017	                  Pseudomonas sp. 7SR1
  0.02	44	44	S	2893890	                  Pseudomonas sp. KNUC1026
  0.02	44	44	S	2726956	                  Pseudomonas sp. MSPm1
  0.02	41	41	S	2870750	                  Pseudomonas sp. CYM-20-01
  0.02	40	40	S	1736226	                  Pseudomonas sp. Leaf58
  0.02	37	37	S	1207075	                  Pseudomonas sp. UW4
  0.02	35	35	S	2604941	                  Pseudomonas sp. C27(2019)
  0.02	34	34	S	2862945	                  Pseudomonas sp. ArH3a
  0.02	34	34	S	2825975	                  Pseudomonas sp. SCA2728.1_7
  0.02	33	33	S	1573711	                  Pseudomonas sp. R76
  0.02	32	32	S	2748080	                  Pseudomonas sp. ABC1
  0.02	31	31	S	1573712	                  Pseudomonas sp. R84
  0.02	31	31	S	2886360	                  Pseudomonas sp. HN2-3
  0.02	30	30	S	2874628	                  Pseudomonas sp. p1(2021b)
  0.02	30	30	S	2811422	                  Pseudomonas sp. PDNC002
  0.02	30	30	S	2864101	                  Pseudomonas sp. So3.2b
  0.02	30	30	S	2590776	                  Pseudomonas sp. NIBRBAC000502773
  0.02	29	29	S	2705472	                  Pseudomonas sp. MTM4
  0.02	28	28	S	2730851	                  Pseudomonas sp. ADAK22
  0.02	28	28	S	2678257	                  Pseudomonas sp. St316
  0.02	28	28	S	2804761	                  Pseudomonas sp. 15A4
  0.01	27	27	S	2083055	                  Pseudomonas sp. LH1G9
  0.01	27	27	S	1294143	                  Pseudomonas sp. ATCC 13867
  0.01	26	26	S	2841064	                  Pseudomonas sp. SK3(2021)
  0.01	26	26	S	2653853	                  Pseudomonas sp. SCB32
  0.01	26	26	S	2920387	                  Pseudomonas sp. LS.1a
  0.01	23	23	S	2706126	                  Pseudomonas sp. OIL-1
  0.01	23	23	S	2774459	                  Pseudomonas sp. IzPS59
  0.01	22	22	S	2697023	                  Pseudomonas sp. AN-B15
  0.01	21	21	S	1855380	                  Pseudomonas sp. Z003-0.4C(8344-21)
  0.01	21	21	S	1659194	                  Pseudomonas sp. GR 6-02
  0.01	20	20	S	2866592	                  Pseudomonas sp. Marseille-Q3773
  0.01	20	20	S	2169583	                  Pseudomonas sp. SXM-1
  0.01	20	20	S	2749807	                  Pseudomonas sp. Y39-6
  0.01	19	19	S	2678261	                  Pseudomonas sp. Pc102
  0.01	18	18	S	2834406	                  Pseudomonas sp. RC3H12
  0.01	18	18	S	2871493	                  Pseudomonas sp. SC3(2021)
  0.01	18	18	S	2837969	                  Pseudomonas sp. FIT81
  0.01	17	17	S	2724470	                  Pseudomonas sp. BIGb0427
  0.01	17	17	S	2126069	                  Pseudomonas sp. LBUM920
  0.01	17	17	S	2749808	                  Pseudomonas sp. Y5-11
  0.01	17	17	S	2726989	                  Pseudomonas sp. gcc21
  0.01	16	16	S	1898684	                  Pseudomonas sp. LPH1
  0.01	15	15	S	1611770	                  Pseudomonas sp. MRSN12121
  0.01	15	15	S	2559074	                  Pseudomonas sp. S150
  0.01	15	15	S	2861799	                  Pseudomonas sp. Colony2
  0.01	15	15	S	1534110	                  Pseudomonas sp. DR 5-09
  0.01	15	15	S	2867408	                  Pseudomonas sp. 3-2
  0.01	15	15	S	118613	                  Pseudomonas sp. B10
  0.01	15	15	S	2067572	                  Pseudomonas sp. NC02
  0.01	15	15	S	2054915	                  Pseudomonas sp. 09C 129
  0.01	14	14	S	2886361	                  Pseudomonas sp. HN8-3
  0.01	14	14	S	1415630	                  Pseudomonas sp. TKP
  0.01	14	14	S	2054914	                  Pseudomonas sp. 02C 26
  0.01	13	13	S	253237	                  Pseudomonas sp. phDV1
  0.01	13	13	S	2884805	                  Pseudomonas sp. HN2
  0.01	13	13	S	2898483	                  Pseudomonas sp. 7-41
  0.01	12	12	S	1649877	                  Pseudomonas sp. CCOS 191
  0.01	12	12	S	2662033	                  Pseudomonas sp. 14181154
  0.01	12	12	S	1702250	                  Pseudomonas sp. IB20
  0.01	12	12	S	658641	                  Pseudomonas sp. R2-7-07
  0.01	12	12	S	2749999	                  Pseudomonas sp. RtIB026
  0.01	11	11	S	676210	                  Pseudomonas sp. ATCC 43928
  0.01	11	11	S	658632	                  Pseudomonas sp. R11-23-07
  0.01	11	11	S	1500686	                  Pseudomonas sp. Os17
  0.01	11	11	S	2738843	                  Pseudomonas sp. B14-6
  0.01	10	10	S	1259844	                  Pseudomonas sp. FGI182
  0.00	9	9	S	2005388	                  Pseudomonas sp. RU47
  0.00	9	9	S	1173283	                  Pseudomonas sp. R3-18-08
  0.00	9	9	S	1573720	                  Pseudomonas sp. S49
