  5.62	1162	1162	U	0	unclassified
 94.38	19501	0	R	1	root
 94.31	19488	15	R1	131567	  cellular organisms
 93.75	19371	423	D	2	    Bacteria
 86.41	17854	1006	P	1224	      Proteobacteria
 62.57	12928	1873	C	28216	        Betaproteobacteria
 37.03	7651	731	O	80840	          Burkholderiales
 28.39	5866	231	F	119060	            Burkholderiaceae
 26.61	5498	5186	G	44013	              Polynucleobacter
  0.99	204	36	G1	2640945	                unclassified Polynucleobacter
  0.17	35	35	S	2576926	                  Polynucleobacter sp. AP-Ainpum-60-G11
  0.11	23	23	S	1855880	                  Polynucleobacter sp. MWH-Aus1W21
  0.06	13	13	S	2689102	                  Polynucleobacter sp. AM-7D1
  0.05	11	11	S	2081042	                  Polynucleobacter sp. AP-Melu-1000-A1
  0.05	10	10	S	2576922	                  Polynucleobacter sp. JS-Mosq-20-D10
  0.03	7	7	S	2081052	                  Polynucleobacter sp. MG-Unter2-18
  0.03	6	6	S	1743162	                  Polynucleobacter sp. LimPoW16
  0.03	6	6	S	2576917	                  Polynucleobacter sp. AP-Nino-20-G2
  0.02	5	5	S	1819725	                  Polynucleobacter sp. es-MAR-2
  0.02	5	5	S	2576923	                  Polynucleobacter sp. AP-Titi-500A-B4
  0.02	5	5	S	2576919	                  Polynucleobacter sp. JS-JIR-II-50
  0.02	4	4	S	2576928	                  Polynucleobacter sp. AP-Jannik-300A-C4
  0.02	4	4	S	1855619	                  Polynucleobacter sp. MWH-UH35A
  0.02	4	4	S	2576930	                  Polynucleobacter sp. AP-Elch-400A-B2
  0.02	4	4	S	2081049	                  Polynucleobacter sp. AP-Sving-400A-A2
  0.01	3	3	S	2689109	                  Polynucleobacter sp. MWH-Spelu-300-X4
  0.01	3	3	S	2770234	                  Polynucleobacter sp. Adler-ghost
  0.01	3	3	S	1743174	                  Polynucleobacter sp. MWH-UH21B
  0.01	3	3	S	2081041	                  Polynucleobacter sp. AP-Kolm-20A-A1
