 24.96	7997	7997	U	0	unclassified
 75.04	24046	0	R	1	root
 74.96	24021	10	R1	131567	  cellular organisms
 74.82	23973	713	D	2	    Bacteria
 57.07	18288	965	P	1224	      Proteobacteria
 37.60	12047	1568	C	28216	        Betaproteobacteria
 27.76	8894	827	O	206389	          Rhodocyclales
 23.17	7425	3498	F	2008795	            Azonexaceae
  7.87	2523	0	G	138117	              Quatrionicoccus
  7.87	2523	2523	S	138118	                Quatrionicoccus australiensis
  3.17	1017	420	G	73029	              Dechloromonas
  1.30	416	416	S	281362	                Dechloromonas denitrificans
  0.56	181	1	G1	2633351	                unclassified Dechloromonas
  0.39	124	124	S	2231055	                  Dechloromonas sp. HYN0024
  0.17	56	56	S	2654218	                  Dechloromonas sp. TW-R-39-2
  1.21	387	0	G	88875	              Ferribacterium
  1.21	387	387	S	76259	                Ferribacterium limneticum
  1.11	357	5	F	75787	            Rhodocyclaceae
  0.90	289	41	G	146937	              Azospira
  0.38	121	121	S	404405	                Azospira restricta
  0.37	119	119	S	2785627	                Azospira inquinata
  0.02	6	0	G1	2609269	                unclassified Azospira
  0.02	6	6	S	1765049	                  Azospira sp. I09
  0.01	2	0	S	146939	                Azospira oryzae
  0.01	2	2	S1	640081	                  Azospira oryzae PS
  0.12	39	1	G	551759	              Aromatoleum
  0.04	14	14	S	76115	                Aromatoleum bremense
  0.03	9	9	S	2067960	                Aromatoleum pumilum
  0.02	8	8	S	76116	                Aromatoleum petrolei
  0.02	7	0	S	551760	                Aromatoleum aromaticum
  0.02	7	7	S1	76114	                  Aromatoleum aromaticum EbN1
  0.04	13	0	G	1911577	              Oryzomicrobium
  0.04	13	13	S	1735038	                Oryzomicrobium terrae
  0.02	6	0	G	1769726	              Niveibacterium
  0.02	6	6	S	2811415	                Niveibacterium microcysteis
  0.02	5	0	G	1914449	              Rugosibacter
  0.02	5	5	S	1565605	                Rugosibacter aromaticivorans
  0.84	269	72	F	2008794	            Zoogloeaceae
  0.48	154	60	G	33057	              Thauera
  0.17	56	0	G1	2609274	                unclassified Thauera
  0.10	32	32	S	85643	                  Thauera sp. MZ1T
  0.07	24	24	S	2005884	                  Thauera sp. K11
  0.05	15	15	S	2184083	                Thauera hydrothermalis
  0.04	12	12	S	1134435	                Thauera humireducens
  0.02	7	7	S	96773	                Thauera chlorobenzoica
  0.01	4	0	S	59405	                Thauera aromatica
  0.01	4	4	S1	44139	                  Thauera aromatica K172
  0.08	27	4	G	12960	              Azoarcus
  0.04	14	0	G1	2629479	                unclassified Azoarcus
