  7.88	2004	2004	U	0	unclassified
 92.12	23426	2	R	1	root
 92.09	23419	6	R1	131567	  cellular organisms
 91.90	23370	822	D	2	    Bacteria
 76.21	19380	785	P	1224	      Proteobacteria
 37.19	9458	1661	C	28216	        Betaproteobacteria
 21.40	5442	1535	O	80840	          Burkholderiales
 10.45	2658	1334	F	80864	            Comamonadaceae
  2.62	665	441	G	12916	              Acidovorax
  0.66	167	31	G1	2684926	                unclassified Acidovorax
  0.33	84	84	S	2518343	                  Acidovorax sp. JMULE5
  0.06	14	14	S	1858609	                  Acidovorax sp. T1
  0.05	13	13	S	2478662	                  Acidovorax sp. 1608163
  0.04	10	10	S	2738413	                  Acidovorax sp. YS12
  0.03	7	7	S	2714923	                  Acidovorax sp. HDW3
  0.02	4	4	S	358220	                  Acidovorax sp. KKS102
  0.02	4	4	S	1842533	                  Acidovorax sp. RAC01
  0.17	43	43	S	553814	                Acidovorax carolinensis
  0.02	5	0	S	80867	                Acidovorax avenae
  0.02	5	4	S1	80870	                  Acidovorax avenae subsp. avenae
  0.00	1	1	S2	643561	                    Acidovorax avenae subsp. avenae ATCC 19860
  0.02	4	4	S	2743470	                Acidovorax antarcticus
  0.01	2	2	S	758826	                Acidovorax radicis
  0.01	2	2	S	1926868	                Acidovorax monticola
  0.00	1	1	S	80869	                Acidovorax citrulli
  0.50	127	47	G	34072	              Variovorax
  0.25	64	37	G1	663243	                unclassified Variovorax
  0.05	13	13	S	1795631	                  Variovorax sp. PAMC 28711
  0.01	2	2	S	207745	                  Variovorax sp. WDL1
  0.01	2	2	S	434008	                  Variovorax sp. PBS-H4
  0.01	2	2	S	434009	                  Variovorax sp. PBL-H6
  0.01	2	2	S	1034889	                  Variovorax sp. HW608
  0.01	2	2	S	2762322	                  Variovorax sp. PAMC26660
  0.00	1	1	S	282217	                  Variovorax sp. SRS16
  0.00	1	1	S	2774875	                  Variovorax sp. 38R
  0.00	1	1	S	2762323	                  Variovorax sp. PAMC28562
  0.00	1	1	S	662548	                  Variovorax sp. RA8
  0.06	14	11	S	34073	                Variovorax paradoxus
  0.01	3	3	S1	1246301	                  Variovorax paradoxus B4
  0.01	2	2	S	436515	                Variovorax boronicumulans
  0.46	116	52	G	28065	              Rhodoferax
  0.13	32	1	G1	2627954	                unclassified Rhodoferax
  0.08	20	20	S	2798804	                  Rhodoferax sp. MIZ03
  0.02	6	6	S	2822760	                  Rhodoferax sp. PAMC 29310
