  5.37	1416	1416	U	0	unclassified
 94.63	24966	1	R	1	root
 94.62	24963	21	R1	131567	  cellular organisms
 94.22	24856	857	D	2	    Bacteria
 73.97	19515	876	P	1224	      Proteobacteria
 38.62	10190	1718	C	28216	        Betaproteobacteria
 22.09	5829	1642	O	80840	          Burkholderiales
  9.86	2602	1295	F	80864	            Comamonadaceae
  2.30	606	381	G	12916	              Acidovorax
  0.67	176	33	G1	2684926	                unclassified Acidovorax
  0.33	86	86	S	2518343	                  Acidovorax sp. JMULE5
  0.08	21	21	S	2738413	                  Acidovorax sp. YS12
  0.05	14	14	S	2478662	                  Acidovorax sp. 1608163
  0.04	10	10	S	2714923	                  Acidovorax sp. HDW3
  0.03	7	7	S	1858609	                  Acidovorax sp. T1
  0.01	3	3	S	358220	                  Acidovorax sp. KKS102
  0.01	2	2	S	1842533	                  Acidovorax sp. RAC01
  0.12	32	32	S	553814	                Acidovorax carolinensis
  0.04	11	11	S	2743470	                Acidovorax antarcticus
  0.01	2	2	S	758826	                Acidovorax radicis
  0.01	2	2	S	1926868	                Acidovorax monticola
  0.00	1	0	S	80867	                Acidovorax avenae
  0.00	1	0	S1	80870	                  Acidovorax avenae subsp. avenae
  0.00	1	1	S2	643561	                    Acidovorax avenae subsp. avenae ATCC 19860
  0.00	1	1	S	80869	                Acidovorax citrulli
  0.62	163	77	G	28065	              Rhodoferax
  0.16	41	1	G1	2627954	                unclassified Rhodoferax
  0.11	28	28	S	2798804	                  Rhodoferax sp. MIZ03
  0.04	10	10	S	2822760	                  Rhodoferax sp. PAMC 29310
  0.01	2	2	S	2752316	                  Rhodoferax sp. AJA081-3
  0.12	32	32	S	81479	                Rhodoferax antarcticus
  0.02	5	0	S	192843	                Rhodoferax ferrireducens
  0.02	5	5	S1	338969	                  Rhodoferax ferrireducens T118
  0.02	5	5	S	1842727	                Rhodoferax koreense
  0.00	1	1	S	1484693	                Rhodoferax saidenbachensis
  0.00	1	1	S	2509614	                Rhodoferax sediminis
  0.00	1	1	S	2527691	                Rhodoferax aquaticus
  0.45	120	42	G	34072	              Variovorax
  0.20	54	34	G1	663243	                unclassified Variovorax
  0.05	12	12	S	1795631	                  Variovorax sp. PAMC 28711
  0.01	3	3	S	207745	                  Variovorax sp. WDL1
  0.00	1	1	S	434008	                  Variovorax sp. PBS-H4
  0.00	1	1	S	434009	                  Variovorax sp. PBL-H6
  0.00	1	1	S	2774875	                  Variovorax sp. 38R
  0.00	1	1	S	2762323	                  Variovorax sp. PAMC28562
  0.00	1	1	S	2762322	                  Variovorax sp. PAMC26660
  0.09	24	22	S	34073	                Variovorax paradoxus
  0.01	2	2	S1	1246301	                  Variovorax paradoxus B4
  0.41	109	48	G	283	              Comamonas
  0.08	20	7	G1	2638500	                unclassified Comamonas
  0.02	4	4	S	2853163	                  Comamonas sp. NLF-1-9
  0.02	4	4	S	2853257	                  Comamonas sp. Y33R10-2
  0.01	3	3	S	2597701	                  Comamonas sp. NLF-7-7
  0.01	2	2	S	2918299	                  Comamonas sp. B21-038
  0.05	14	14	S	379895	                Comamonas odontotermitis
  0.04	11	11	S	225991	                Comamonas aquatica
  0.03	9	9	S	1082851	                Comamonas serinivorans
  0.01	3	1	S	285	                Comamonas testosteroni
  0.01	2	2	S1	1392005	                  Comamonas testosteroni TK102
  0.01	2	2	S	225992	                Comamonas kerstersii
  0.01	2	2	S	363952	                Comamonas thiooxydans
  0.25	65	0	G	174951	              Ramlibacter
  0.25	65	19	S	94132	                Ramlibacter tataouinensis
  0.17	46	46	S1	365046	                  Ramlibacter tataouinensis TTB310
  0.16	43	0	G	352450	              Simplicispira
  0.16	43	43	S	2109915	                Simplicispira suum
  0.12	31	2	G	219181	              Ottowia
  0.09	25	0	G1	2645081	                unclassified Ottowia
  0.09	23	23	S	2816950	                  Ottowia sp. 27C
  0.01	2	2	S	1658672	                  Ottowia sp. oral taxon 894
  0.02	4	4	S	2109914	                Ottowia oryzae
  0.10	26	20	G	47420	              Hydrogenophaga
  0.02	6	0	G1	2610897	                unclassified Hydrogenophaga
  0.01	3	3	S	2716225	                  Hydrogenophaga sp. BA0156
  0.01	2	2	S	2806347	                  Hydrogenophaga sp. SL48
  0.00	1	1	S	795665	                  Hydrogenophaga sp. PBC
  0.09	25	0	G	665874	              Limnohabitans
  0.09	25	1	G1	2626134	                unclassified Limnohabitans
  0.08	22	22	S	1678129	                  Limnohabitans sp. 103DPR2
  0.01	2	2	S	1678128	                  Limnohabitans sp. 63ED37-2
