  6.28	1512	1512	U	0	unclassified
 93.72	22575	0	R	1	root
 93.70	22570	9	R1	131567	  cellular organisms
 93.46	22512	682	D	2	    Bacteria
 75.22	18118	643	P	1224	      Proteobacteria
 37.01	8914	1454	C	28216	        Betaproteobacteria
 21.37	5148	1386	O	80840	          Burkholderiales
 10.34	2491	1191	F	80864	            Comamonadaceae
  2.94	709	441	G	12916	              Acidovorax
  0.91	218	50	G1	2684926	                unclassified Acidovorax
  0.50	120	120	S	2518343	                  Acidovorax sp. JMULE5
  0.06	15	15	S	2478662	                  Acidovorax sp. 1608163
  0.04	9	9	S	1858609	                  Acidovorax sp. T1
  0.04	9	9	S	2714923	                  Acidovorax sp. HDW3
  0.03	8	8	S	2738413	                  Acidovorax sp. YS12
  0.02	5	5	S	358220	                  Acidovorax sp. KKS102
  0.01	2	2	S	1842533	                  Acidovorax sp. RAC01
  0.16	38	38	S	553814	                Acidovorax carolinensis
  0.03	8	8	S	2743470	                Acidovorax antarcticus
  0.01	3	3	S	758826	                Acidovorax radicis
  0.00	1	0	S	80867	                Acidovorax avenae
  0.00	1	1	S1	80870	                  Acidovorax avenae subsp. avenae
  0.50	120	57	G	28065	              Rhodoferax
  0.12	29	29	S	81479	                Rhodoferax antarcticus
  0.08	19	1	G1	2627954	                unclassified Rhodoferax
  0.06	15	15	S	2798804	                  Rhodoferax sp. MIZ03
  0.01	2	2	S	2822760	                  Rhodoferax sp. PAMC 29310
  0.00	1	1	S	2752316	                  Rhodoferax sp. AJA081-3
  0.02	5	0	S	192843	                Rhodoferax ferrireducens
  0.02	5	5	S1	338969	                  Rhodoferax ferrireducens T118
  0.02	4	4	S	1842727	                Rhodoferax koreense
  0.01	3	3	S	2509614	                Rhodoferax sediminis
  0.01	2	2	S	2527691	                Rhodoferax aquaticus
  0.00	1	1	S	1484693	                Rhodoferax saidenbachensis
  0.44	105	45	G	34072	              Variovorax
  0.17	42	25	G1	663243	                unclassified Variovorax
  0.05	11	11	S	1795631	                  Variovorax sp. PAMC 28711
  0.01	2	2	S	662548	                  Variovorax sp. RA8
  0.01	2	2	S	1034889	                  Variovorax sp. HW608
  0.00	1	1	S	434009	                  Variovorax sp. PBL-H6
  0.00	1	1	S	2762323	                  Variovorax sp. PAMC28562
  0.07	18	17	S	34073	                Variovorax paradoxus
  0.00	1	1	S1	1246301	                  Variovorax paradoxus B4
  0.38	92	40	G	283	              Comamonas
  0.09	21	21	S	379895	                Comamonas odontotermitis
  0.05	11	2	G1	2638500	                unclassified Comamonas
  0.02	6	6	S	2853163	                  Comamonas sp. NLF-1-9
  0.01	2	2	S	2853257	                  Comamonas sp. Y33R10-2
  0.00	1	1	S	2597701	                  Comamonas sp. NLF-7-7
  0.04	10	10	S	225991	                Comamonas aquatica
  0.02	4	4	S	1082851	                Comamonas serinivorans
  0.01	3	3	S	363952	                Comamonas thiooxydans
  0.00	1	0	S	285	                Comamonas testosteroni
  0.00	1	1	S1	1392005	                  Comamonas testosteroni TK102
  0.00	1	1	S	225992	                Comamonas kerstersii
  0.00	1	1	S	1562974	                Comamonas piscis
  0.21	50	0	G	352450	              Simplicispira
  0.21	50	50	S	2109915	                Simplicispira suum
