  6.91	138	138	U	0	unclassified
 93.09	1859	3	R	1	root
 90.59	1809	0	R1	131567	  cellular organisms
 90.39	1805	19	D	2	    Bacteria
 81.97	1637	95	P	1224	      Proteobacteria
 50.88	1016	146	C	28216	        Betaproteobacteria
 19.13	382	71	O	206389	          Rhodocyclales
 12.12	242	172	F	2008795	            Azonexaceae
  1.90	38	0	G	88875	              Ferribacterium
  1.90	38	38	S	76259	                Ferribacterium limneticum
  1.00	20	0	G	138117	              Quatrionicoccus
  1.00	20	20	S	138118	                Quatrionicoccus australiensis
  0.60	12	2	G	73029	              Dechloromonas
  0.50	10	10	S	281362	                Dechloromonas denitrificans
  1.95	39	3	F	2008794	            Zoogloeaceae
  0.90	18	17	G	33057	              Thauera
  0.05	1	0	G1	2609274	                unclassified Thauera
  0.05	1	1	S	85643	                  Thauera sp. MZ1T
  0.70	14	3	G	2891294	              Nitrogeniibacter
  0.55	11	11	S	2016596	                Nitrogeniibacter mangrovi
  0.20	4	0	G	12960	              Azoarcus
  0.10	2	2	S	418699	                Azoarcus olearius
  0.10	2	0	G1	2629479	                unclassified Azoarcus
  0.10	2	2	S	2027405	                  Azoarcus sp. DD4
  1.35	27	0	F	75787	            Rhodocyclaceae
  1.10	22	11	G	146937	              Azospira
  0.45	9	9	S	2785627	                Azospira inquinata
  0.10	2	2	S	404405	                Azospira restricta
  0.10	2	0	G	551759	              Aromatoleum
  0.10	2	2	S	2067960	                Aromatoleum pumilum
  0.10	2	0	G	1914449	              Rugosibacter
  0.10	2	2	S	1565605	                Rugosibacter aromaticivorans
  0.05	1	0	G	1769726	              Niveibacterium
  0.05	1	1	S	2811415	                Niveibacterium microcysteis
  0.15	3	0	F	2808923	            Fluviibacteraceae
  0.15	3	0	G	2808942	              Fluviibacter
  0.15	3	3	S	1751046	                Fluviibacter phosphoraccumulans
 12.57	251	97	O	80840	          Burkholderiales
  3.05	61	2	F	119060	            Burkholderiaceae
  2.00	40	37	G	44013	              Polynucleobacter
  0.15	3	1	G1	2640945	                unclassified Polynucleobacter
  0.05	1	1	S	1855652	                  Polynucleobacter sp. es-EL-1
  0.05	1	1	S	1819725	                  Polynucleobacter sp. es-MAR-2
  0.40	8	3	G	48736	              Ralstonia
  0.15	3	0	S	305	                Ralstonia solanacearum
  0.15	3	3	S1	859655	                  Ralstonia solanacearum CMR15
  0.10	2	2	S	190721	                Ralstonia insidiosa
  0.15	3	0	G	32008	              Burkholderia
  0.15	3	0	G1	111527	                pseudomallei group
  0.10	2	1	S	57975	                  Burkholderia thailandensis
  0.05	1	1	S1	1249663	                    Burkholderia thailandensis H0587
  0.05	1	1	S	28450	                  Burkholderia pseudomallei
  0.15	3	2	G	106589	              Cupriavidus
  0.05	1	1	S	96344	                Cupriavidus oxalaticus
  0.15	3	0	G	2571159	              Mycetohabitans
  0.15	3	0	S	412963	                Mycetohabitans rhizoxinica
  0.15	3	3	S1	882378	                  Mycetohabitans rhizoxinica HKI 454
  0.10	2	0	G	2680021	              Ephemeroptericola
  0.10	2	2	S	2268024	                Ephemeroptericola cinctiostellae
  2.60	52	27	F	80864	            Comamonadaceae
  0.35	7	2	G	28065	              Rhodoferax
  0.15	3	3	S	2509614	                Rhodoferax sediminis
  0.05	1	1	S	1484693	                Rhodoferax saidenbachensis
  0.05	1	0	G1	2627954	                unclassified Rhodoferax
  0.05	1	1	S	2798804	                  Rhodoferax sp. MIZ03
  0.25	5	1	G	283	              Comamonas
  0.10	2	0	G1	2638500	                unclassified Comamonas
  0.05	1	1	S	2853163	                  Comamonas sp. NLF-1-9
  0.05	1	1	S	2918299	                  Comamonas sp. B21-038
  0.05	1	1	S	379895	                Comamonas odontotermitis
  0.05	1	1	S	1082851	                Comamonas serinivorans
  0.20	4	0	G	232523	              Hylemonella
  0.20	4	4	S	80880	                Hylemonella gracilis
  0.10	2	2	G	12916	              Acidovorax
  0.10	2	0	G	665874	              Limnohabitans
  0.10	2	0	G1	2626134	                unclassified Limnohabitans
  0.10	2	2	S	1678129	                  Limnohabitans sp. 103DPR2
  0.05	1	1	G	80865	              Delftia
  0.05	1	0	G	174951	              Ramlibacter
  0.05	1	1	S	94132	                Ramlibacter tataouinensis
  0.05	1	0	G	215579	              Schlegelella
  0.05	1	1	S	413882	                Schlegelella brevitalea
  0.05	1	0	G	34072	              Variovorax
  0.05	1	0	G1	663243	                unclassified Variovorax
  0.05	1	1	S	1034889	                  Variovorax sp. HW608
  0.05	1	0	G	364316	              Verminephrobacter
  0.05	1	0	S	364317	                Verminephrobacter eiseniae
  0.05	1	1	S1	391735	                  Verminephrobacter eiseniae EF01-2
  1.35	27	13	O1	224471	            Burkholderiales genera incertae sedis
  0.40	8	0	G	28067	              Rubrivivax
  0.40	8	0	S	28068	                Rubrivivax gelatinosus
  0.40	8	8	S1	983917	                  Rubrivivax gelatinosus IL144
  0.10	2	2	G	32012	              Thiomonas
  0.10	2	0	G	34102	              Sphaerotilus
  0.10	2	0	S	34103	                Sphaerotilus natans
  0.10	2	2	S1	639200	                  Sphaerotilus natans subsp. sulfidivorans
  0.05	1	0	G	92793	              Aquabacterium
  0.05	1	1	S	1296669	                Aquabacterium olei
  0.05	1	0	G	212743	              Rhizobacter
  0.05	1	0	G1	2640088	                unclassified Rhizobacter
  0.05	1	1	S	2753607	                  Rhizobacter sp. AJA081-3
  0.35	7	4	F	75682	            Oxalobacteraceae
  0.05	1	0	G	963	              Herbaspirillum
  0.05	1	0	G1	2624150	                unclassified Herbaspirillum
  0.05	1	1	S	2025949	                  Herbaspirillum sp. meg3
  0.05	1	0	G	401469	              Undibacterium
  0.05	1	1	G1	2630295	                unclassified Undibacterium
  0.05	1	1	F1	2895353	              Massilia group
  0.30	6	3	F	506	            Alcaligenaceae
  0.05	1	0	G	517	              Bordetella
  0.05	1	1	S	520	                Bordetella pertussis
  0.05	1	0	G	290425	              Advenella
  0.05	1	0	S	310575	                Advenella kashmirensis
  0.05	1	1	S1	1036672	                  Advenella kashmirensis WT001
  0.05	1	0	G	1472344	              Basilea
  0.05	1	0	S	1472345	                Basilea psittacipulmonis
  0.05	1	1	S1	1072685	                  Basilea psittacipulmonis DSM 24701
  0.05	1	0	F	995019	            Sutterellaceae
  0.05	1	0	G	1918598	              Turicimonas
  0.05	1	1	S	1796652	                Turicimonas muris
  9.11	182	140	O	32003	          Nitrosomonadales
  1.50	30	0	F	2008793	            Sterolibacteriaceae
  1.30	26	2	G	311181	              Denitratisoma
  1.10	22	0	G1	2609272	                unclassified Denitratisoma
  1.10	22	22	S	1981880	                  Denitratisoma sp. DHT3
  0.10	2	2	S	311182	                Denitratisoma oestradiolicum
  0.15	3	0	G	1054211	              Sulfuritalea
  0.15	3	0	S	748811	                Sulfuritalea hydrogenivorans
  0.15	3	3	S1	1223802	                  Sulfuritalea hydrogenivorans sk43H
  0.05	1	0	G	157591	              Sterolibacterium
  0.05	1	1	S	157592	                Sterolibacterium denitrificans
  0.25	5	4	F	90627	            Gallionellaceae
  0.05	1	0	G	314343	              Sideroxydans
  0.05	1	0	S	63745	                Sideroxydans lithotrophicus
  0.05	1	1	S1	580332	                  Sideroxydans lithotrophicus ES-1
  0.15	3	2	F	32011	            Methylophilaceae
  0.05	1	0	G	16	              Methylophilus
  0.05	1	0	G1	2630143	                unclassified Methylophilus
  0.05	1	1	S	1662285	                  Methylophilus sp. TWE2
  0.10	2	0	F	2008790	            Thiobacillaceae
  0.10	2	0	G	919	              Thiobacillus
  0.10	2	0	S	36861	                Thiobacillus denitrificans
  0.10	2	2	S1	292415	                  Thiobacillus denitrificans ATCC 25259
  0.05	1	0	F	206379	            Nitrosomonadaceae
  0.05	1	0	G	35798	              Nitrosospira
  0.05	1	0	S	1231	                Nitrosospira multiformis
  0.05	1	1	S1	323848	                  Nitrosospira multiformis ATCC 25196
  0.05	1	0	F	2803844	            Usitatibacteraceae
  0.05	1	0	G	2803845	              Usitatibacter
  0.05	1	1	S	2732487	                Usitatibacter palustris
  2.35	47	6	O	206351	          Neisseriales
  1.20	24	2	F	1499392	            Chromobacteriaceae
  0.85	17	0	G	187	              Aquaspirillum
  0.85	17	0	G1	2620219	                unclassified Aquaspirillum
  0.85	17	17	S	1938604	                  Aquaspirillum sp. LM1
  0.15	3	0	G	57739	              Vogesella
  0.15	3	3	G1	2684990	                unclassified Vogesella
  0.10	2	0	G	885864	              Jeongeupia
  0.10	2	2	G1	2619593	                unclassified Jeongeupia
  0.85	17	1	F	481	            Neisseriaceae
  0.50	10	0	G	538	              Eikenella
  0.50	10	10	S	539	                Eikenella corrodens
  0.25	5	0	G	2593687	              Aquella
  0.25	5	5	S	2067065	                Aquella oligotrophica
  0.05	1	1	G	482	              Neisseria
  0.40	8	0	C1	119066	          Betaproteobacteria incertae sedis
  0.30	6	0	G	1381133	            Candidatus Profftella
  0.30	6	6	S	2661583	              Candidatus Profftella armatura (Diaphorina cf. continua)
  0.10	2	0	F	2705999	            Casimicrobiaceae
  0.10	2	0	G	2706000	              Casimicrobium
  0.10	2	2	S	2591109	                Casimicrobium huifangae
 17.13	342	78	C	1236	        Gammaproteobacteria
  3.91	78	0	O	2887326	          Moraxellales
  3.91	78	15	F	468	            Moraxellaceae
  3.10	62	49	G	469	              Acinetobacter
  0.25	5	0	G1	909768	                Acinetobacter calcoaceticus/baumannii complex
  0.15	3	3	S	470	                  Acinetobacter baumannii
  0.05	1	1	S	471	                  Acinetobacter calcoaceticus
  0.05	1	1	S	48296	                  Acinetobacter pittii
  0.10	2	2	S	108980	                Acinetobacter ursingii
  0.10	2	0	G1	196816	                unclassified Acinetobacter
  0.05	1	1	S	2601122	                  Acinetobacter sp. YH12138
  0.05	1	1	S	2714110	                  Acinetobacter sp. Marseille-Q1620
  0.05	1	0	S	52133	                Acinetobacter venetianus
  0.05	1	1	S1	1197884	                  Acinetobacter venetianus VE-C3
