 34.38	274853	274853	U	0	unclassified
 65.62	524608	93	R	1	root
 64.81	518096	5775	R1	131567	  cellular organisms
 60.79	486000	4544	D	2	    Bacteria
 56.71	453350	5110	P	1224	      Proteobacteria
 51.32	410258	327	C	28216	        Betaproteobacteria
 51.25	409685	673	O	80840	          Burkholderiales
 50.79	406077	10173	F	119060	            Burkholderiaceae
 49.37	394683	46732	G	32008	              Burkholderia
 43.13	344789	228740	G1	87882	                Burkholderia cepacia complex
  9.93	79412	74003	S	95486	                  Burkholderia cenocepacia
  0.59	4700	4700	S1	1055524	                    Burkholderia cenocepacia H111
  0.08	678	678	S1	406425	                    Burkholderia cenocepacia MC0-3
  0.00	23	23	S1	331272	                    Burkholderia cenocepacia HI2424
  0.00	8	8	S1	216591	                    Burkholderia cenocepacia J2315
  1.58	12602	11392	S	292	                  Burkholderia cepacia
  0.15	1209	1209	S1	1395570	                    Burkholderia cepacia JBK9
  0.00	1	1	S1	983594	                    Burkholderia cepacia ATCC 25416
  0.96	7690	7690	S	488447	                  Burkholderia contaminans
  0.24	1951	1951	S	482957	                  Burkholderia lata
  0.22	1759	1759	S	60550	                  Burkholderia pyrrocinia
  0.22	1757	1554	S	87883	                  Burkholderia multivorans
  0.03	203	203	S1	395019	                    Burkholderia multivorans ATCC 17616
  0.21	1671	1671	S	95485	                  Burkholderia stabilis
  0.21	1649	1572	S	152480	                  Burkholderia ambifaria
  0.01	75	75	S1	398577	                    Burkholderia ambifaria MC40-6
  0.00	2	2	S1	339670	                    Burkholderia ambifaria AMMD
  0.18	1474	1474	S	179879	                  Burkholderia anthina
  0.15	1216	1216	S	488731	                  Burkholderia seminalis
  0.12	936	788	S	101571	                  Burkholderia ubonensis
  0.01	113	113	S1	265293	                    Burkholderia ubonensis subsp. mesacidophila
  0.00	35	35	S1	1249668	                    Burkholderia ubonensis MSMB22
  0.10	825	825	S	488729	                  Burkholderia metallica
  0.10	783	783	S	60552	                  Burkholderia vietnamiensis
  0.09	727	502	S	152500	                  Burkholderia dolosa
  0.03	224	224	S1	1385930	                    Burkholderia dolosa PC543
  0.00	1	1	S1	350701	                    Burkholderia dolosa AU0158
  0.06	513	513	S	1503055	                  Burkholderia territorii
  0.03	267	267	S	488732	                  Burkholderia diffusa
  0.03	266	266	S	488446	                  Burkholderia latens
  0.03	216	216	S	2015348	                  Burkholderia aenigmatica
  0.02	198	198	S	1503054	                  Burkholderia stagnalis
  0.02	137	137	S	1207504	                  Burkholderia pseudomultivorans
  0.26	2048	743	G1	2613784	                unclassified Burkholderia
  0.05	402	402	S	1637853	                  Burkholderia sp. NRF60-BP8
  0.04	298	298	S	2217913	                  Burkholderia sp. JP2-270
  0.03	218	218	S	1637869	                  Burkholderia sp. MSMB0856
  0.02	139	139	S	1637862	                  Burkholderia sp. LA-2-3-30-S1-D2
  0.01	63	63	S	1179675	                  Burkholderia sp. KBS0801
  0.01	51	51	S	2811788	                  Burkholderia sp. MS455
  0.00	25	25	S	2813843	                  Burkholderia sp. LAS2
  0.00	24	24	S	1740163	                  Burkholderia sp. Bp7605
  0.00	23	23	S	2571746	                  Burkholderia sp. DHOD12
  0.00	21	21	S	1705310	                  Burkholderia sp. IDO3
  0.00	10	10	S	2811789	                  Burkholderia sp. MS389
  0.00	8	8	S	2890407	                  Burkholderia sp. B21-007
