  1.81	17959	17959	U	0	unclassified
 98.19	972056	597	R	1	root
 97.80	968217	9525	R1	131567	  cellular organisms
 96.76	957943	108115	D	2	    Bacteria
 72.99	722657	58222	P	1224	      Proteobacteria
 51.35	508340	23990	C	28216	        Betaproteobacteria
 48.24	477618	52421	O	80840	          Burkholderiales
 41.75	413293	296874	F	80864	            Comamonadaceae
 11.25	111374	54519	G	34072	              Variovorax
  5.35	52932	44242	G1	663243	                unclassified Variovorax
  0.58	5730	5730	S	1795631	                  Variovorax sp. PAMC 28711
  0.07	700	700	S	2762322	                  Variovorax sp. PAMC26660
  0.06	607	607	S	2762323	                  Variovorax sp. PAMC28562
  0.06	606	606	S	1034889	                  Variovorax sp. HW608
  0.06	556	556	S	2681552	                  Variovorax sp. RKNM96
  0.01	124	124	S	2774875	                  Variovorax sp. 38R
  0.01	88	88	S	434009	                  Variovorax sp. PBL-H6
  0.01	85	85	S	282217	                  Variovorax sp. SRS16
  0.01	79	79	S	434008	                  Variovorax sp. PBS-H4
  0.00	47	47	S	662548	                  Variovorax sp. RA8
  0.00	31	31	S	207745	                  Variovorax sp. WDL1
  0.00	21	21	S	434014	                  Variovorax sp. PBL-E5
  0.00	13	13	S	2126319	                  Variovorax sp. PMC12
  0.00	3	3	S	2811425	                  Variovorax sp. PDNC026
  0.38	3749	2071	S	34073	                Variovorax paradoxus
  0.12	1183	1183	S1	1246301	                  Variovorax paradoxus B4
  0.05	495	495	S1	595537	                  Variovorax paradoxus EPS
  0.02	174	174	S	436515	                Variovorax boronicumulans
  0.17	1721	423	G	12916	              Acidovorax
  0.08	831	831	S	2743470	                Acidovorax antarcticus
  0.04	437	155	G1	2684926	                unclassified Acidovorax
  0.02	186	186	S	2518343	                  Acidovorax sp. JMULE5
  0.00	36	36	S	2738413	                  Acidovorax sp. YS12
  0.00	24	24	S	358220	                  Acidovorax sp. KKS102
  0.00	20	20	S	1858609	                  Acidovorax sp. T1
  0.00	9	9	S	2478662	                  Acidovorax sp. 1608163
  0.00	6	6	S	2714923	                  Acidovorax sp. HDW3
  0.00	1	1	S	1842533	                  Acidovorax sp. RAC01
  0.00	18	18	S	553814	                Acidovorax carolinensis
  0.00	4	4	S	80868	                Acidovorax cattleyae
  0.00	2	0	S	80867	                Acidovorax avenae
  0.00	2	2	S1	80870	                  Acidovorax avenae subsp. avenae
  0.00	2	1	S	80869	                Acidovorax citrulli
  0.00	1	1	S1	397945	                  Acidovorax citrulli AAC00-1
  0.00	2	2	S	758826	                Acidovorax radicis
  0.00	2	2	S	1926868	                Acidovorax monticola
  0.11	1132	222	G	283	              Comamonas
  0.07	654	8	G1	2638500	                unclassified Comamonas
  0.05	494	494	S	2918299	                  Comamonas sp. B21-038
  0.01	135	135	S	2853257	                  Comamonas sp. Y33R10-2
  0.00	9	9	S	2597701	                  Comamonas sp. NLF-7-7
  0.00	5	5	S	2853163	                  Comamonas sp. NLF-1-9
  0.00	2	2	S	2927787	                  Comamonas sp. 7D-2evo1
  0.00	1	1	S	2927788	                  Comamonas sp. 7D-2evo2
  0.01	91	91	S	225991	                Comamonas aquatica
  0.01	52	49	S	285	                Comamonas testosteroni
  0.00	3	3	S1	1392005	                  Comamonas testosteroni TK102
  0.00	39	39	S	225992	                Comamonas kerstersii
  0.00	31	31	S	363952	                Comamonas thiooxydans
  0.00	13	13	S	160825	                Comamonas koreensis
  0.00	12	12	S	379895	                Comamonas odontotermitis
  0.00	10	10	S	2796366	                Comamonas fluminis
  0.00	6	6	S	1082851	                Comamonas serinivorans
  0.00	2	2	S	1562974	                Comamonas piscis
  0.07	688	0	G	174951	              Ramlibacter
  0.07	688	17	S	94132	                Ramlibacter tataouinensis
  0.07	671	671	S1	365046	                  Ramlibacter tataouinensis TTB310
  0.04	409	79	G	47420	              Hydrogenophaga
  0.02	247	31	G1	2610897	                unclassified Hydrogenophaga
  0.02	190	190	S	434010	                  Hydrogenophaga sp. PBL-H3
  0.00	8	8	S	2651974	                  Hydrogenophaga sp. BPS33
  0.00	4	4	S	2806347	                  Hydrogenophaga sp. SL48
  0.00	3	3	S	795665	                  Hydrogenophaga sp. PBC
  0.00	3	3	S	2565558	                  Hydrogenophaga sp. PAMC20947
  0.00	3	3	S	2716225	                  Hydrogenophaga sp. BA0156
  0.00	3	3	S	2806262	                  Hydrogenophaga sp. YM1
  0.00	2	2	S	1842537	                  Hydrogenophaga sp. RAC07
  0.01	70	70	S	65656	                Hydrogenophaga taeniospiralis
  0.00	12	12	S	47421	                Hydrogenophaga pseudoflava
  0.00	1	1	S	1763535	                Hydrogenophaga crassostreae
  0.03	277	60	G	28065	              Rhodoferax
  0.01	117	3	G1	2627954	                unclassified Rhodoferax
  0.01	99	99	S	2798804	                  Rhodoferax sp. MIZ03
  0.00	12	12	S	2822760	                  Rhodoferax sp. PAMC 29310
  0.00	2	2	S	2752316	                  Rhodoferax sp. AJA081-3
  0.00	1	1	S	2741720	                  Rhodoferax sp. BAB1
  0.00	36	36	S	81479	                Rhodoferax antarcticus
  0.00	26	26	S	1842727	                Rhodoferax koreense
  0.00	21	21	S	2509614	                Rhodoferax sediminis
  0.00	9	9	S	1484693	                Rhodoferax saidenbachensis
  0.00	6	6	S	2527691	                Rhodoferax aquaticus
  0.00	2	0	S	192843	                Rhodoferax ferrireducens
  0.00	2	2	S1	338969	                  Rhodoferax ferrireducens T118
  0.03	249	59	G	52972	              Polaromonas
  0.01	75	75	S	37448	                Polaromonas vacuolata
  0.01	69	63	G1	2638319	                unclassified Polaromonas
  0.00	6	6	S	296591	                  Polaromonas sp. JS666
  0.00	46	0	S	216465	                Polaromonas naphthalenivorans
  0.00	46	46	S1	365044	                  Polaromonas naphthalenivorans CJ2
  0.01	105	34	G	80865	              Delftia
  0.00	45	0	G1	2613839	                unclassified Delftia
  0.00	44	44	S	742013	                  Delftia sp. Cs1-4
  0.00	1	1	S	1920191	                  Delftia sp. HK171
  0.00	21	21	S	80866	                Delftia acidovorans
  0.00	5	5	S	180282	                Delftia tsuruhatensis
  0.01	91	0	G	1436289	              Candidatus Symbiobacter
  0.01	91	0	S	1436290	                Candidatus Symbiobacter mobilis
  0.01	91	91	S1	946483	                  Candidatus Symbiobacter mobilis CR
  0.01	91	28	G	238749	              Diaphorobacter
  0.00	41	1	G1	2649760	                unclassified Diaphorobacter
  0.00	36	36	S	2714924	                  Diaphorobacter sp. HDW4A
  0.00	3	3	S	2714925	                  Diaphorobacter sp. HDW4B
  0.00	1	1	S	2792224	                  Diaphorobacter sp. JS3051
  0.00	19	19	S	1715720	                Diaphorobacter ruginosibacter
  0.00	2	2	S	164759	                Diaphorobacter nitroreducens
  0.00	1	1	S	1288495	                Diaphorobacter aerolatus
  0.00	49	0	G	364316	              Verminephrobacter
  0.00	49	0	S	364317	                Verminephrobacter eiseniae
  0.00	49	49	S1	391735	                  Verminephrobacter eiseniae EF01-2
  0.00	38	0	G	665874	              Limnohabitans
  0.00	38	0	G1	2626134	                unclassified Limnohabitans
  0.00	31	31	S	1678129	                  Limnohabitans sp. 103DPR2
  0.00	7	7	S	1678128	                  Limnohabitans sp. 63ED37-2
  0.00	36	8	G	1649468	              Melaminivora
  0.00	18	0	G1	2641902	                unclassified Melaminivora
  0.00	18	18	S	2109913	                  Melaminivora sp. SC2-9
  0.00	10	10	S	1267217	                Melaminivora jejuensis
  0.00	35	0	G	352450	              Simplicispira
  0.00	35	35	S	2109915	                Simplicispira suum
  0.00	29	0	G	215579	              Schlegelella
  0.00	15	15	S	413882	                Schlegelella brevitalea
  0.00	14	14	S	215580	                Schlegelella thermodepolymerans
  0.00	26	1	G	219181	              Ottowia
  0.00	19	1	G1	2645081	                unclassified Ottowia
  0.00	13	13	S	1658672	                  Ottowia sp. oral taxon 894
  0.00	5	5	S	2816950	                  Ottowia sp. 27C
  0.00	6	6	S	2109914	                Ottowia oryzae
  0.00	21	18	G	2490452	              Serpentinimonas
  0.00	3	3	S	1458425	                Serpentinimonas raichei
  0.00	19	0	G	201096	              Alicycliphilus
  0.00	19	19	S	179636	                Alicycliphilus denitrificans
  0.00	13	0	G	2678886	              Pulveribacter
  0.00	13	13	S	2116657	                Pulveribacter suum
  0.00	7	0	G	232523	              Hylemonella
  0.00	7	7	S	80880	                Hylemonella gracilis
  0.00	6	0	G	281915	              Curvibacter
  0.00	6	0	G1	2685271	                unclassified Curvibacter
  0.00	6	6	S	1844971	                  Curvibacter sp. AEP1-3
  0.00	3	0	G	683756	              Kinneretia
  0.00	3	0	G1	2632542	                unclassified Kinneretia
  0.00	2	2	S	2877940	                  Kinneretia sp. XES5
  0.00	1	1	S	2714952	                  Kinneretia sp. DAIF2
  0.94	9294	6320	F	75682	            Oxalobacteraceae
  0.23	2275	1830	G	29580	              Janthinobacterium
  0.02	183	183	S	2590869	                Janthinobacterium tructae
  0.02	152	17	G1	2610881	                unclassified Janthinobacterium
  0.00	42	42	S	1938606	                  Janthinobacterium sp. LM6
  0.00	41	41	S	2861284	                  Janthinobacterium sp. PAMC25594
  0.00	35	35	S	1644131	                  Janthinobacterium sp. 1_2014MBL_MicDiv
  0.00	10	10	S	1537274	                  Janthinobacterium sp. HH102
  0.00	7	7	S	2497863	                  Janthinobacterium sp. 17J80-10
  0.01	52	52	S	368607	                Janthinobacterium svalbardensis
  0.00	39	34	S	55508	                Janthinobacterium agaricidamnosum
  0.00	5	5	S1	1349767	                  Janthinobacterium agaricidamnosum NBRC 102515 = DSM 9628
  0.00	19	19	S	29581	                Janthinobacterium lividum
  0.03	316	132	G	963	              Herbaspirillum
  0.02	153	0	S	341045	                Herbaspirillum hiltneri
  0.02	153	153	S1	1262470	                  Herbaspirillum hiltneri N3
  0.00	19	9	S	80842	                Herbaspirillum rubrisubalbicans
  0.00	10	10	S1	1235827	                  Herbaspirillum rubrisubalbicans Os34
  0.00	7	0	G1	2624150	                unclassified Herbaspirillum
  0.00	7	7	S	2025949	                  Herbaspirillum sp. meg3
  0.00	4	4	S	964	                Herbaspirillum seropedicae
  0.00	1	1	S	863372	                Herbaspirillum huttiense
  0.02	198	10	F1	2895353	              Massilia group
  0.02	169	57	G	149698	                Massilia
  0.00	43	21	G1	2609279	                  unclassified Massilia
  0.00	8	8	S	2899220	                    Massilia sp. DM-R-R2A-13
  0.00	4	4	S	2769491	                    Massilia sp. LPB0304
  0.00	4	4	S	2852099	                    Massilia sp. HC52
  0.00	3	3	S	2861282	                    Massilia sp. NP310
  0.00	2	2	S	2919578	                    Massilia sp. MB5
  0.00	1	1	S	1593482	                    Massilia sp. YMA4
  0.00	26	26	S	321985	                  Massilia lutea
  0.00	17	17	S	871742	                  Massilia flava
  0.00	10	10	S	2045208	                  Massilia violaceinigra
  0.00	7	7	S	864828	                  Massilia umbonata
  0.00	3	3	S	321984	                  Massilia plicata
  0.00	2	2	S	321983	                  Massilia albidiflava
  0.00	2	2	S	1141883	                  Massilia putida
  0.00	1	1	S	945844	                  Massilia oculi
  0.00	1	1	S	2072590	                  Massilia armeniaca
  0.00	19	0	G	75654	                Duganella
  0.00	19	14	G1	2636909	                  unclassified Duganella
  0.00	4	4	S	2728021	                    Duganella sp. AF9R3
