  0.88	83186	83186	U	0	unclassified
 99.12	9379293	82	R	1	root
 98.70	9339310	18456	R1	131567	  cellular organisms
 98.48	9318530	558346	D	2	    Bacteria
 84.16	7963319	657195	P	1224	      Proteobacteria
 31.58	2988680	911703	C	1236	        Gammaproteobacteria
 18.12	1714207	0	O	2887326	          Moraxellales
 18.12	1714207	345110	F	468	            Moraxellaceae
 14.29	1352604	1308937	G	469	              Acinetobacter
  0.14	13581	215	G1	909768	                Acinetobacter calcoaceticus/baumannii complex
  0.12	11124	10721	S	470	                  Acinetobacter baumannii
  0.00	300	300	S1	1279013	                    Acinetobacter baumannii PR07
  0.00	56	56	S1	509173	                    Acinetobacter baumannii AYE
  0.00	28	28	S1	1400867	                    Acinetobacter baumannii ZW85-1
  0.00	10	10	S1	1096996	                    Acinetobacter baumannii BJAB0715
  0.00	5	5	S1	1370126	                    Acinetobacter baumannii DU202
  0.00	3	3	S1	1096997	                    Acinetobacter baumannii BJAB0868
  0.00	1	1	S1	696749	                    Acinetobacter baumannii 1656-2
  0.02	1464	1323	S	48296	                  Acinetobacter pittii
  0.00	141	141	S1	871585	                    Acinetobacter pittii PHEA-2
  0.00	449	449	S	1530123	                  Acinetobacter seifertii
  0.00	314	314	S	471	                  Acinetobacter calcoaceticus
  0.00	12	12	S	106654	                  Acinetobacter nosocomialis
  0.00	3	3	S	1785128	                  Acinetobacter lactucae
  0.11	10202	10202	S	1839785	                Acinetobacter portensis
  0.07	6277	942	G1	196816	                unclassified Acinetobacter
  0.01	1184	1184	S	1879049	                  Acinetobacter sp. WCHAc010034
  0.01	886	886	S	2714110	                  Acinetobacter sp. Marseille-Q1620
  0.01	716	716	S	1646498	                  Acinetobacter sp. TTH0-4
  0.00	380	380	S	2079596	                  Acinetobacter sp. SWBY1
  0.00	288	288	S	2798861	                  Acinetobacter sp. CS-2
  0.00	232	232	S	2609668	                  Acinetobacter sp. C16S1
  0.00	214	214	S	2004644	                  Acinetobacter sp. WCHA45
  0.00	200	200	S	2563897	                  Acinetobacter sp. 10FS3-1
  0.00	166	166	S	2743575	                  Acinetobacter sp. NEB 394
