 37.21	696110	696110	U	0	unclassified
 62.79	1174579	206	R	1	root
 61.90	1157981	49827	R1	131567	  cellular organisms
 55.79	1043649	22223	D	2	    Bacteria
 51.49	963213	15723	P	1224	      Proteobacteria
 46.05	861446	1516	C	28216	        Betaproteobacteria
 45.94	859416	2893	O	80840	          Burkholderiales
 45.50	851252	29033	F	119060	            Burkholderiaceae
 43.81	819513	164979	G	32008	              Burkholderia
 34.67	648489	483167	G1	87882	                Burkholderia cepacia complex
  5.98	111882	104678	S	95486	                  Burkholderia cenocepacia
  0.35	6548	6548	S1	1055524	                    Burkholderia cenocepacia H111
  0.03	631	631	S1	406425	                    Burkholderia cenocepacia MC0-3
  0.00	20	20	S1	331272	                    Burkholderia cenocepacia HI2424
  0.00	5	5	S1	216591	                    Burkholderia cenocepacia J2315
  0.88	16522	15218	S	292	                  Burkholderia cepacia
  0.07	1300	1300	S1	1395570	                    Burkholderia cepacia JBK9
  0.00	4	4	S1	983594	                    Burkholderia cepacia ATCC 25416
  0.78	14593	14593	S	488447	                  Burkholderia contaminans
  0.17	3088	3088	S	482957	                  Burkholderia lata
  0.12	2258	1992	S	87883	                  Burkholderia multivorans
  0.01	265	265	S1	395019	                    Burkholderia multivorans ATCC 17616
  0.00	1	1	S1	985079	                    Burkholderia multivorans ATCC BAA-247
  0.11	2102	2029	S	152480	                  Burkholderia ambifaria
  0.00	72	72	S1	398577	                    Burkholderia ambifaria MC40-6
  0.00	1	1	S1	339670	                    Burkholderia ambifaria AMMD
  0.11	2097	2097	S	60550	                  Burkholderia pyrrocinia
  0.11	2050	2050	S	95485	                  Burkholderia stabilis
  0.10	1905	549	S	152500	                  Burkholderia dolosa
  0.07	1355	1355	S1	1385930	                    Burkholderia dolosa PC543
  0.00	1	1	S1	350701	                    Burkholderia dolosa AU0158
  0.10	1875	1875	S	179879	                  Burkholderia anthina
  0.08	1456	1456	S	488731	                  Burkholderia seminalis
  0.07	1284	1284	S	60552	                  Burkholderia vietnamiensis
  0.06	1206	977	S	101571	                  Burkholderia ubonensis
  0.01	183	183	S1	265293	                    Burkholderia ubonensis subsp. mesacidophila
  0.00	46	46	S1	1249668	                    Burkholderia ubonensis MSMB22
  0.06	1077	1077	S	488729	                  Burkholderia metallica
  0.03	648	648	S	1503055	                  Burkholderia territorii
  0.02	369	369	S	488732	                  Burkholderia diffusa
  0.02	309	309	S	488446	                  Burkholderia latens
  0.01	268	268	S	1503054	                  Burkholderia stagnalis
  0.01	211	211	S	2015348	                  Burkholderia aenigmatica
  0.01	122	122	S	1207504	                  Burkholderia pseudomultivorans
  0.21	3838	1407	G1	2613784	                unclassified Burkholderia
  0.04	796	796	S	1637853	                  Burkholderia sp. NRF60-BP8
  0.03	494	494	S	2217913	                  Burkholderia sp. JP2-270
  0.02	358	358	S	1637869	                  Burkholderia sp. MSMB0856
  0.02	337	337	S	1637862	                  Burkholderia sp. LA-2-3-30-S1-D2
  0.01	98	98	S	2811788	                  Burkholderia sp. MS455
  0.01	95	95	S	1179675	                  Burkholderia sp. KBS0801
  0.00	81	81	S	2813843	                  Burkholderia sp. LAS2
  0.00	47	47	S	1740163	                  Burkholderia sp. Bp7605
  0.00	41	41	S	1705310	                  Burkholderia sp. IDO3
  0.00	27	27	S	2571746	                  Burkholderia sp. DHOD12
  0.00	14	14	S	1795043	                  Burkholderia sp. PAMC 26561
  0.00	13	13	S	2732364	                  Burkholderia sp. MBR-1
  0.00	11	11	S	2811789	                  Burkholderia sp. MS389
  0.00	8	8	S	416344	                  Burkholderia sp. KJ006
  0.00	6	6	S	2890407	                  Burkholderia sp. B21-007
  0.00	4	4	S	2890406	                  Burkholderia sp. B21-005
  0.00	1	1	S	1795874	                  Burkholderia sp. PAMC 28687
  0.09	1654	368	G1	111527	                pseudomallei group
  0.03	490	391	S	28450	                  Burkholderia pseudomallei
  0.00	27	27	S1	1249468	                    Burkholderia pseudomallei NCTC 13178
  0.00	17	17	S1	1435365	                    Burkholderia pseudomallei TSV 48
  0.00	16	16	S1	331978	                    Burkholderia pseudomallei Pasteur 52237
  0.00	12	12	S1	1249472	                    Burkholderia pseudomallei MSHR2543
  0.00	9	9	S1	1249473	                    Burkholderia pseudomallei MSHR491
  0.00	8	8	S1	1241583	                    Burkholderia pseudomallei NCTC 13179
  0.00	5	5	S1	1249658	                    Burkholderia pseudomallei PB08298010
  0.00	2	2	S1	1306419	                    Burkholderia pseudomallei HBPUB10303a
  0.00	1	1	S1	1249477	                    Burkholderia pseudomallei NAU35A-3
  0.00	1	1	S1	441156	                    Burkholderia pseudomallei 7894
  0.00	1	1	S1	536230	                    Burkholderia pseudomallei MSHR346
