  4.51	3822	3822	U	0	unclassified
 95.49	80959	13	R	1	root
 95.38	80868	161	R1	131567	  cellular organisms
 95.11	80633	2963	D	2	    Bacteria
 78.24	66333	3199	P	1224	      Proteobacteria
 34.12	28929	2878	C	28216	        Betaproteobacteria
 21.65	18358	4123	O	80840	          Burkholderiales
 14.52	12312	4159	F	80864	            Comamonadaceae
  4.28	3632	1389	G	12916	              Acidovorax
  2.49	2115	940	G1	2684926	                unclassified Acidovorax
  0.44	371	371	S	2478662	                  Acidovorax sp. 1608163
  0.35	299	299	S	2738413	                  Acidovorax sp. YS12
  0.25	211	211	S	2518343	                  Acidovorax sp. JMULE5
  0.14	118	118	S	2714923	                  Acidovorax sp. HDW3
  0.12	99	99	S	358220	                  Acidovorax sp. KKS102
  0.05	40	40	S	1858609	                  Acidovorax sp. T1
  0.04	37	37	S	1842533	                  Acidovorax sp. RAC01
  0.08	66	66	S	553814	                Acidovorax carolinensis
  0.02	21	21	S	758826	                Acidovorax radicis
  0.02	15	15	S	2743470	                Acidovorax antarcticus
  0.02	14	14	S	1926868	                Acidovorax monticola
  0.01	8	0	S	80867	                Acidovorax avenae
  0.01	8	8	S1	80870	                  Acidovorax avenae subsp. avenae
  0.00	2	2	S	80868	                Acidovorax cattleyae
  0.00	2	2	S	80869	                Acidovorax citrulli
  2.46	2086	613	G	283	              Comamonas
  0.67	566	263	G1	2638500	                unclassified Comamonas
  0.26	222	222	S	2597701	                  Comamonas sp. NLF-7-7
  0.07	56	56	S	2853257	                  Comamonas sp. Y33R10-2
  0.01	12	12	S	2918299	                  Comamonas sp. B21-038
  0.01	11	11	S	2853163	                  Comamonas sp. NLF-1-9
  0.00	1	1	S	2927787	                  Comamonas sp. 7D-2evo1
  0.00	1	1	S	2927788	                  Comamonas sp. 7D-2evo2
  0.23	198	198	S	379895	                Comamonas odontotermitis
  0.23	193	193	S	225991	                Comamonas aquatica
  0.20	169	169	S	363952	                Comamonas thiooxydans
  0.12	98	98	S	1082851	                Comamonas serinivorans
  0.11	90	90	S	1562974	                Comamonas piscis
  0.07	61	29	S	285	                Comamonas testosteroni
  0.04	32	32	S1	1392005	                  Comamonas testosteroni TK102
  0.06	48	48	S	225992	                Comamonas kerstersii
  0.04	36	36	S	2796366	                Comamonas fluminis
  0.02	14	14	S	160825	                Comamonas koreensis
  0.87	739	54	G	1649468	              Melaminivora
  0.42	353	353	S	1267217	                Melaminivora jejuensis
  0.39	332	0	G1	2641902	                unclassified Melaminivora
  0.39	332	332	S	2109913	                  Melaminivora sp. SC2-9
  0.41	351	129	G	238749	              Diaphorobacter
  0.11	93	22	G1	2649760	                unclassified Diaphorobacter
  0.06	48	48	S	2714924	                  Diaphorobacter sp. HDW4A
  0.02	13	13	S	2714925	                  Diaphorobacter sp. HDW4B
  0.00	4	4	S	2735554	                  Diaphorobacter sp. JS3050
  0.00	4	4	S	2792224	                  Diaphorobacter sp. JS3051
  0.00	2	2	S	2866628	                  Diaphorobacter sp. MNS-0
  0.10	83	83	S	1715720	                Diaphorobacter ruginosibacter
  0.05	43	43	S	1288495	                Diaphorobacter aerolatus
  0.00	3	3	S	164759	                Diaphorobacter nitroreducens
  0.31	264	23	G	219181	              Ottowia
  0.17	148	7	G1	2645081	                unclassified Ottowia
  0.13	110	110	S	2816950	                  Ottowia sp. 27C
  0.04	31	31	S	1658672	                  Ottowia sp. oral taxon 894
  0.11	93	93	S	2109914	                Ottowia oryzae
  0.22	186	59	G	47420	              Hydrogenophaga
  0.15	124	32	G1	2610897	                unclassified Hydrogenophaga
  0.05	45	45	S	2806262	                  Hydrogenophaga sp. YM1
  0.02	13	13	S	2806347	                  Hydrogenophaga sp. SL48
  0.01	12	12	S	2716225	                  Hydrogenophaga sp. BA0156
  0.01	6	6	S	434010	                  Hydrogenophaga sp. PBL-H3
  0.01	5	5	S	1842537	                  Hydrogenophaga sp. RAC07
  0.01	5	5	S	2651974	                  Hydrogenophaga sp. BPS33
  0.00	2	2	S	795665	                  Hydrogenophaga sp. PBC
  0.00	2	2	S	2184519	                  Hydrogenophaga sp. NH-16
  0.00	2	2	S	2565558	                  Hydrogenophaga sp. PAMC20947
  0.00	3	3	S	65656	                Hydrogenophaga taeniospiralis
  0.18	155	20	G	34072	              Variovorax
  0.12	102	18	G1	663243	                unclassified Variovorax
  0.03	26	26	S	1034889	                  Variovorax sp. HW608
  0.03	23	23	S	2762323	                  Variovorax sp. PAMC28562
  0.02	15	15	S	2762322	                  Variovorax sp. PAMC26660
  0.01	7	7	S	2681552	                  Variovorax sp. RKNM96
  0.00	3	3	S	207745	                  Variovorax sp. WDL1
  0.00	2	2	S	282217	                  Variovorax sp. SRS16
  0.00	2	2	S	1795631	                  Variovorax sp. PAMC 28711
  0.00	2	2	S	434008	                  Variovorax sp. PBS-H4
  0.00	1	1	S	662548	                  Variovorax sp. RA8
  0.00	1	1	S	434014	                  Variovorax sp. PBL-E5
  0.00	1	1	S	434009	                  Variovorax sp. PBL-H6
