  3.46	3099	3099	U	0	unclassified
 96.54	86552	4	R	1	root
 96.49	86507	256	R1	131567	  cellular organisms
 95.77	85860	4251	D	2	    Bacteria
 79.13	70939	3571	P	1224	      Proteobacteria
 41.03	36782	5024	C	28216	        Betaproteobacteria
 26.06	23363	5610	O	80840	          Burkholderiales
 14.67	13155	5813	F	80864	            Comamonadaceae
  5.07	4546	2993	G	12916	              Acidovorax
  1.56	1403	296	G1	2684926	                unclassified Acidovorax
  0.94	842	842	S	2518343	                  Acidovorax sp. JMULE5
  0.10	87	87	S	2738413	                  Acidovorax sp. YS12
  0.08	69	69	S	2478662	                  Acidovorax sp. 1608163
  0.05	49	49	S	2714923	                  Acidovorax sp. HDW3
  0.04	33	33	S	1858609	                  Acidovorax sp. T1
  0.02	21	21	S	358220	                  Acidovorax sp. KKS102
  0.01	6	6	S	1842533	                  Acidovorax sp. RAC01
  0.11	96	96	S	553814	                Acidovorax carolinensis
  0.03	30	30	S	2743470	                Acidovorax antarcticus
  0.01	8	8	S	758826	                Acidovorax radicis
  0.01	7	0	S	80867	                Acidovorax avenae
  0.01	7	5	S1	80870	                  Acidovorax avenae subsp. avenae
  0.00	2	2	S2	643561	                    Acidovorax avenae subsp. avenae ATCC 19860
  0.01	7	7	S	1926868	                Acidovorax monticola
  0.00	1	1	S	80868	                Acidovorax cattleyae
  0.00	1	1	S	80869	                Acidovorax citrulli
  0.63	565	279	G	28065	              Rhodoferax
  0.15	135	4	G1	2627954	                unclassified Rhodoferax
  0.10	91	91	S	2798804	                  Rhodoferax sp. MIZ03
  0.03	24	24	S	2822760	                  Rhodoferax sp. PAMC 29310
  0.01	13	13	S	2741720	                  Rhodoferax sp. BAB1
  0.00	3	3	S	2752316	                  Rhodoferax sp. AJA081-3
  0.14	125	125	S	81479	                Rhodoferax antarcticus
  0.01	8	0	S	192843	                Rhodoferax ferrireducens
  0.01	8	8	S1	338969	                  Rhodoferax ferrireducens T118
  0.01	6	6	S	2509614	                Rhodoferax sediminis
  0.01	6	6	S	2527691	                Rhodoferax aquaticus
  0.00	4	4	S	1484693	                Rhodoferax saidenbachensis
  0.00	2	2	S	1842727	                Rhodoferax koreense
  0.56	502	205	G	34072	              Variovorax
  0.26	231	109	G1	663243	                unclassified Variovorax
  0.08	70	70	S	1795631	                  Variovorax sp. PAMC 28711
  0.01	11	11	S	2762322	                  Variovorax sp. PAMC26660
  0.01	9	9	S	2762323	                  Variovorax sp. PAMC28562
  0.01	9	9	S	2681552	                  Variovorax sp. RKNM96
  0.01	8	8	S	1034889	                  Variovorax sp. HW608
  0.00	4	4	S	2774875	                  Variovorax sp. 38R
  0.00	3	3	S	207745	                  Variovorax sp. WDL1
  0.00	3	3	S	434008	                  Variovorax sp. PBS-H4
  0.00	2	2	S	282217	                  Variovorax sp. SRS16
  0.00	1	1	S	662548	                  Variovorax sp. RA8
  0.00	1	1	S	434014	                  Variovorax sp. PBL-E5
  0.00	1	1	S	434009	                  Variovorax sp. PBL-H6
  0.07	61	47	S	34073	                Variovorax paradoxus
  0.01	12	12	S1	1246301	                  Variovorax paradoxus B4
  0.00	2	2	S1	595537	                  Variovorax paradoxus EPS
  0.01	5	5	S	436515	                Variovorax boronicumulans
  0.49	436	193	G	283	              Comamonas
  0.09	83	83	S	379895	                Comamonas odontotermitis
  0.06	53	11	G1	2638500	                unclassified Comamonas
  0.02	20	20	S	2853163	                  Comamonas sp. NLF-1-9
  0.01	11	11	S	2597701	                  Comamonas sp. NLF-7-7
  0.01	7	7	S	2853257	                  Comamonas sp. Y33R10-2
  0.00	4	4	S	2918299	                  Comamonas sp. B21-038
  0.04	36	36	S	225991	                Comamonas aquatica
  0.03	24	24	S	1082851	                Comamonas serinivorans
  0.02	17	16	S	285	                Comamonas testosteroni
  0.00	1	1	S1	1392005	                  Comamonas testosteroni TK102
  0.02	14	14	S	225992	                Comamonas kerstersii
  0.01	12	12	S	363952	                Comamonas thiooxydans
  0.00	2	2	S	160825	                Comamonas koreensis
  0.00	2	2	S	1562974	                Comamonas piscis
  0.28	253	0	G	352450	              Simplicispira
  0.28	253	253	S	2109915	                Simplicispira suum
  0.26	232	0	G	174951	              Ramlibacter
  0.26	232	76	S	94132	                Ramlibacter tataouinensis
  0.17	156	156	S1	365046	                  Ramlibacter tataouinensis TTB310
  0.21	184	8	G	219181	              Ottowia
  0.15	138	11	G1	2645081	                unclassified Ottowia
  0.13	113	113	S	2816950	                  Ottowia sp. 27C
  0.02	14	14	S	1658672	                  Ottowia sp. oral taxon 894
  0.04	38	38	S	2109914	                Ottowia oryzae
  0.13	115	10	G	238749	              Diaphorobacter
  0.09	77	18	G1	2649760	                unclassified Diaphorobacter
  0.05	43	43	S	2714925	                  Diaphorobacter sp. HDW4B
  0.02	16	16	S	2714924	                  Diaphorobacter sp. HDW4A
  0.03	24	24	S	1288495	                Diaphorobacter aerolatus
  0.00	3	3	S	1715720	                Diaphorobacter ruginosibacter
  0.00	1	1	S	164759	                Diaphorobacter nitroreducens
  0.09	83	45	G	47420	              Hydrogenophaga
  0.04	34	3	G1	2610897	                unclassified Hydrogenophaga
  0.01	11	11	S	2716225	                  Hydrogenophaga sp. BA0156
  0.01	8	8	S	2806347	                  Hydrogenophaga sp. SL48
  0.01	7	7	S	2651974	                  Hydrogenophaga sp. BPS33
  0.00	3	3	S	2806262	                  Hydrogenophaga sp. YM1
  0.00	1	1	S	434010	                  Hydrogenophaga sp. PBL-H3
  0.00	1	1	S	2565558	                  Hydrogenophaga sp. PAMC20947
  0.00	3	3	S	1763535	                Hydrogenophaga crassostreae
  0.00	1	1	S	65656	                Hydrogenophaga taeniospiralis
  0.09	80	0	G	665874	              Limnohabitans
  0.09	80	2	G1	2626134	                unclassified Limnohabitans
  0.08	74	74	S	1678129	                  Limnohabitans sp. 103DPR2
  0.00	4	4	S	1678128	                  Limnohabitans sp. 63ED37-2
  0.08	70	22	G	52972	              Polaromonas
  0.02	21	21	S	37448	                Polaromonas vacuolata
  0.02	16	15	G1	2638319	                unclassified Polaromonas
  0.00	1	1	S	296591	                  Polaromonas sp. JS666
  0.01	11	0	S	216465	                Polaromonas naphthalenivorans
  0.01	11	11	S1	365044	                  Polaromonas naphthalenivorans CJ2
  0.07	63	52	G	80865	              Delftia
  0.01	5	5	S	180282	                Delftia tsuruhatensis
  0.00	3	3	S	80866	                Delftia acidovorans
  0.00	3	3	S	558537	                Delftia lacustris
  0.05	43	0	G	1436289	              Candidatus Symbiobacter
  0.05	43	0	S	1436290	                Candidatus Symbiobacter mobilis
  0.05	43	43	S1	946483	                  Candidatus Symbiobacter mobilis CR
  0.04	35	0	G	364316	              Verminephrobacter
  0.04	35	0	S	364317	                Verminephrobacter eiseniae
  0.04	35	35	S1	391735	                  Verminephrobacter eiseniae EF01-2
  0.04	33	3	G	1649468	              Melaminivora
  0.02	16	0	G1	2641902	                unclassified Melaminivora
  0.02	16	16	S	2109913	                  Melaminivora sp. SC2-9
  0.02	14	14	S	1267217	                Melaminivora jejuensis
  0.03	28	2	G	215579	              Schlegelella
  0.02	22	22	S	413882	                Schlegelella brevitalea
  0.00	4	4	S	215580	                Schlegelella thermodepolymerans
  0.02	21	12	G	2490452	              Serpentinimonas
  0.01	8	8	S	1458425	                Serpentinimonas raichei
  0.00	1	1	S	1458426	                Serpentinimonas maccroryi
  0.02	15	0	G	683756	              Kinneretia
  0.02	15	0	G1	2632542	                unclassified Kinneretia
  0.02	14	14	S	2877940	                  Kinneretia sp. XES5
  0.00	1	1	S	2714952	                  Kinneretia sp. DAIF2
  0.01	11	0	G	232523	              Hylemonella
  0.01	11	11	S	80880	                Hylemonella gracilis
  0.01	10	0	G	201096	              Alicycliphilus
  0.01	10	9	S	179636	                Alicycliphilus denitrificans
  0.00	1	1	S1	596154	                  Alicycliphilus denitrificans K601
  0.01	10	0	G	2678886	              Pulveribacter
  0.01	10	10	S	2116657	                Pulveribacter suum
  0.01	7	0	G	281915	              Curvibacter
  0.01	7	0	G1	2685271	                unclassified Curvibacter
  0.01	7	7	S	1844971	                  Curvibacter sp. AEP1-3
  3.02	2708	758	O1	224471	            Burkholderiales genera incertae sedis
  1.04	931	0	G	92793	              Aquabacterium
  1.04	931	931	S	1296669	                Aquabacterium olei
  0.36	327	0	G	34102	              Sphaerotilus
  0.36	327	0	S	34103	                Sphaerotilus natans
  0.36	327	327	S1	639200	                  Sphaerotilus natans subsp. sulfidivorans
  0.20	179	4	G	212743	              Rhizobacter
  0.18	165	165	S	946333	                Rhizobacter gummiphilus
  0.01	10	0	G1	2640088	                unclassified Rhizobacter
  0.01	10	10	S	2753607	                  Rhizobacter sp. AJA081-3
  0.17	155	0	G	28067	              Rubrivivax
  0.17	155	0	S	28068	                Rubrivivax gelatinosus
  0.17	155	155	S1	983917	                  Rubrivivax gelatinosus IL144
  0.13	113	0	G	88	              Leptothrix
  0.13	113	0	S	34029	                Leptothrix cholodnii
  0.13	113	113	S1	395495	                  Leptothrix cholodnii SP-6
  0.07	66	0	G	36862	              Ideonella
  0.07	66	66	S	36863	                Ideonella dechloratans
  0.07	66	0	G	644355	              Inhella
  0.07	66	66	S	392593	                Inhella inkyongensis
  0.04	36	0	G	54066	              Xylophilus
  0.04	36	36	S	2697032	                Xylophilus rhododendri
  0.03	31	17	G	32012	              Thiomonas
  0.01	7	7	S	926	                Thiomonas intermedia
  0.01	7	2	G1	2625466	                unclassified Thiomonas
  0.01	5	5	S	1050370	                  Thiomonas sp. X19
  0.02	15	0	G	2929841	              Candidatus Ichthyocystis
  0.02	15	15	S	1561003	                Candidatus Ichthyocystis hellenicum
  0.01	12	0	G	318147	              Paucibacter
  0.01	12	0	G1	2642959	                unclassified Paucibacter
  0.01	12	12	S	1768242	                  Paucibacter sp. KCTC 42545
  0.01	10	0	G	114248	              Tepidimonas
  0.01	10	10	S	307486	                Tepidimonas taiwanensis
  0.01	8	4	G	316612	              Methylibium
  0.00	3	0	S	105560	                Methylibium petroleiphilum
  0.00	3	3	S1	420662	                  Methylibium petroleiphilum PM1
  0.00	1	0	G1	2633235	                unclassified Methylibium
