  1.72	710	710	U	0	unclassified
 98.28	40513	0	R	1	root
 98.23	40494	99	R1	131567	  cellular organisms
 97.92	40365	2222	D	2	    Bacteria
 63.52	26184	1709	P	1224	      Proteobacteria
 25.69	10591	1235	C	28216	        Betaproteobacteria
 13.72	5655	1650	O	80840	          Burkholderiales
  8.09	3336	1332	F	80864	            Comamonadaceae
  2.21	911	402	G	12916	              Acidovorax
  1.19	492	267	G1	2684926	                unclassified Acidovorax
  0.23	94	94	S	2478662	                  Acidovorax sp. 1608163
  0.11	46	46	S	2518343	                  Acidovorax sp. JMULE5
  0.10	43	43	S	2738413	                  Acidovorax sp. YS12
  0.05	22	22	S	2714923	                  Acidovorax sp. HDW3
  0.04	16	16	S	358220	                  Acidovorax sp. KKS102
  0.00	2	2	S	1842533	                  Acidovorax sp. RAC01
  0.00	2	2	S	1858609	                  Acidovorax sp. T1
  0.02	8	8	S	553814	                Acidovorax carolinensis
  0.01	4	4	S	1926868	                Acidovorax monticola
  0.01	4	4	S	2743470	                Acidovorax antarcticus
  0.00	1	0	S	80867	                Acidovorax avenae
  0.00	1	1	S1	80870	                  Acidovorax avenae subsp. avenae
  1.34	553	152	G	283	              Comamonas
  0.38	156	61	G1	2638500	                unclassified Comamonas
  0.19	80	80	S	2597701	                  Comamonas sp. NLF-7-7
  0.02	9	9	S	2853257	                  Comamonas sp. Y33R10-2
  0.01	5	5	S	2918299	                  Comamonas sp. B21-038
  0.00	1	1	S	2853163	                  Comamonas sp. NLF-1-9
  0.16	66	66	S	225991	                Comamonas aquatica
  0.11	47	47	S	379895	                Comamonas odontotermitis
  0.10	43	43	S	1082851	                Comamonas serinivorans
  0.08	34	34	S	363952	                Comamonas thiooxydans
  0.04	18	11	S	285	                Comamonas testosteroni
  0.02	7	7	S1	1392005	                  Comamonas testosteroni TK102
  0.03	14	14	S	225992	                Comamonas kerstersii
  0.03	14	14	S	1562974	                Comamonas piscis
  0.01	5	5	S	2796366	                Comamonas fluminis
  0.01	4	4	S	160825	                Comamonas koreensis
  0.32	130	9	G	1649468	              Melaminivora
  0.16	65	0	G1	2641902	                unclassified Melaminivora
  0.16	65	65	S	2109913	                  Melaminivora sp. SC2-9
  0.14	56	56	S	1267217	                Melaminivora jejuensis
  0.24	97	9	G	219181	              Ottowia
  0.11	46	0	G1	2645081	                unclassified Ottowia
  0.08	34	34	S	2816950	                  Ottowia sp. 27C
  0.03	12	12	S	1658672	                  Ottowia sp. oral taxon 894
  0.10	42	42	S	2109914	                Ottowia oryzae
  0.15	60	25	G	238749	              Diaphorobacter
  0.04	17	4	G1	2649760	                unclassified Diaphorobacter
  0.03	13	13	S	2714924	                  Diaphorobacter sp. HDW4A
  0.02	9	9	S	1288495	                Diaphorobacter aerolatus
  0.02	9	9	S	1715720	                Diaphorobacter ruginosibacter
  0.12	51	21	G	47420	              Hydrogenophaga
  0.07	28	11	G1	2610897	                unclassified Hydrogenophaga
  0.02	9	9	S	2806262	                  Hydrogenophaga sp. YM1
  0.01	5	5	S	2806347	                  Hydrogenophaga sp. SL48
  0.00	2	2	S	2716225	                  Hydrogenophaga sp. BA0156
  0.00	1	1	S	2651974	                  Hydrogenophaga sp. BPS33
  0.00	2	2	S	1763535	                Hydrogenophaga crassostreae
  0.10	41	0	G	665874	              Limnohabitans
  0.10	41	3	G1	2626134	                unclassified Limnohabitans
  0.09	36	36	S	1678129	                  Limnohabitans sp. 103DPR2
  0.00	2	2	S	1678128	                  Limnohabitans sp. 63ED37-2
  0.07	30	0	G	352450	              Simplicispira
  0.07	30	30	S	2109915	                Simplicispira suum
  0.06	25	3	G	34072	              Variovorax
  0.05	22	1	G1	663243	                unclassified Variovorax
  0.02	10	10	S	1034889	                  Variovorax sp. HW608
  0.02	9	9	S	2762323	                  Variovorax sp. PAMC28562
  0.00	1	1	S	282217	                  Variovorax sp. SRS16
  0.00	1	1	S	434008	                  Variovorax sp. PBS-H4
  0.05	19	18	G	80865	              Delftia
  0.00	1	1	S	80866	                Delftia acidovorans
  0.04	16	0	G	174951	              Ramlibacter
  0.04	16	1	S	94132	                Ramlibacter tataouinensis
  0.04	15	15	S1	365046	                  Ramlibacter tataouinensis TTB310
  0.04	15	7	G	52972	              Polaromonas
  0.01	6	6	S	37448	                Polaromonas vacuolata
  0.00	1	0	S	216465	                Polaromonas naphthalenivorans
  0.00	1	1	S1	365044	                  Polaromonas naphthalenivorans CJ2
  0.00	1	1	G1	2638319	                unclassified Polaromonas
  0.04	15	0	G	1436289	              Candidatus Symbiobacter
  0.04	15	0	S	1436290	                Candidatus Symbiobacter mobilis
  0.04	15	15	S1	946483	                  Candidatus Symbiobacter mobilis CR
  0.02	9	0	G	28065	              Rhodoferax
  0.01	6	0	G1	2627954	                unclassified Rhodoferax
  0.01	3	3	S	2741720	                  Rhodoferax sp. BAB1
  0.01	3	3	S	2798804	                  Rhodoferax sp. MIZ03
  0.00	1	1	S	81479	                Rhodoferax antarcticus
  0.00	1	1	S	1484693	                Rhodoferax saidenbachensis
  0.00	1	1	S	2527691	                Rhodoferax aquaticus
  0.02	8	0	G	364316	              Verminephrobacter
  0.02	8	0	S	364317	                Verminephrobacter eiseniae
  0.02	8	8	S1	391735	                  Verminephrobacter eiseniae EF01-2
  0.01	6	0	G	2678886	              Pulveribacter
  0.01	6	6	S	2116657	                Pulveribacter suum
  0.01	5	0	G	683756	              Kinneretia
  0.01	5	0	G1	2632542	                unclassified Kinneretia
  0.01	5	5	S	2877940	                  Kinneretia sp. XES5
  0.01	5	4	G	2490452	              Serpentinimonas
  0.00	1	1	S	1458425	                Serpentinimonas raichei
  0.01	3	0	G	215579	              Schlegelella
  0.01	3	3	S	413882	                Schlegelella brevitalea
  0.01	3	0	G	201096	              Alicycliphilus
  0.01	3	3	S	179636	                Alicycliphilus denitrificans
  0.00	2	0	G	232523	              Hylemonella
  0.00	2	2	S	80880	                Hylemonella gracilis
  0.95	391	43	O1	224471	            Burkholderiales genera incertae sedis
  0.72	297	0	G	34102	              Sphaerotilus
  0.72	297	0	S	34103	                Sphaerotilus natans
  0.72	297	297	S1	639200	                  Sphaerotilus natans subsp. sulfidivorans
  0.02	8	0	G	88	              Leptothrix
  0.02	8	0	S	34029	                Leptothrix cholodnii
  0.02	8	8	S1	395495	                  Leptothrix cholodnii SP-6
  0.02	8	0	G	644355	              Inhella
  0.02	8	8	S	392593	                Inhella inkyongensis
  0.02	7	0	G	2929841	              Candidatus Ichthyocystis
  0.02	7	7	S	1561003	                Candidatus Ichthyocystis hellenicum
  0.01	6	0	G	92793	              Aquabacterium
  0.01	6	6	S	1296669	                Aquabacterium olei
  0.01	5	0	G	54066	              Xylophilus
  0.01	5	5	S	2697032	                Xylophilus rhododendri
  0.01	4	2	G	32012	              Thiomonas
  0.00	2	2	S	926	                Thiomonas intermedia
  0.00	2	0	G	36862	              Ideonella
  0.00	2	2	S	36863	                Ideonella dechloratans
  0.00	2	0	G	65047	              Mitsuaria
  0.00	2	0	G1	2648776	                unclassified Mitsuaria
  0.00	2	2	S	1658665	                  Mitsuaria sp. 7
  0.00	2	0	G	114248	              Tepidimonas
  0.00	2	2	S	307486	                Tepidimonas taiwanensis
  0.00	2	0	G	212743	              Rhizobacter
  0.00	1	1	S	946333	                Rhizobacter gummiphilus
  0.00	1	0	G1	2640088	                unclassified Rhizobacter
  0.00	1	1	S	2753607	                  Rhizobacter sp. AJA081-3
  0.00	2	0	G	316612	              Methylibium
  0.00	2	0	G1	2633235	                unclassified Methylibium
  0.00	2	2	S	2082386	                  Methylibium sp. Pch-M
  0.00	1	0	G	28067	              Rubrivivax
  0.00	1	0	S	28068	                Rubrivivax gelatinosus
  0.00	1	1	S1	983917	                  Rubrivivax gelatinosus IL144
  0.00	1	0	G	93681	              Roseateles
  0.00	1	1	S	76731	                Roseateles depolymerans
  0.00	1	0	G	318147	              Paucibacter
  0.00	1	0	G1	2642959	                unclassified Paucibacter
